ansatz,block,case,v_m_per_s,lambda_ueV,geometry,dP_v,dchi_phi
A,1,case_i_center,5.0,0.5,baseline,-0.0004645984692039917,-0.001365844620730069
A,1,case_i_center,5.0,0.5,depth_nm+,0.00013170403208722162,0.002780509921741378
A,1,case_i_center,5.0,0.5,depth_nm-,-0.00018570360111491713,-0.0005500960571167715
A,1,case_i_center,5.0,0.5,half_x_nm+,0.000684987678319253,0.0014218937364002225
A,1,case_i_center,5.0,0.5,half_x_nm-,0.0003458973695589507,-0.000407763904148567
A,1,case_i_center,5.0,0.5,half_z_nm+,-0.0005202770554537939,0.0005228226142598175
A,1,case_i_center,5.0,0.5,half_z_nm-,0.00028138230283521193,0.0006768596997201413
A,1,case_i_center,5.0,0.5,period_nm+,0.0005229440027652577,-0.0007422812668562932
A,1,case_i_center,5.0,0.5,period_nm-,-0.0003583987805962363,-0.002265881314821803
A,1,case_i_center,5.0,1.0,baseline,0.0011154452153274153,0.007549780066888618
A,1,case_i_center,5.0,1.0,depth_nm+,-0.002909722961648986,0.019778389935574438
A,1,case_i_center,5.0,1.0,depth_nm-,0.0005480578481124598,0.0032218192731980557
A,1,case_i_center,5.0,1.0,half_x_nm+,-0.0008627731179493558,0.007415047280856438
A,1,case_i_center,5.0,1.0,half_x_nm-,0.0011184238253975909,0.003343588422062874
A,1,case_i_center,5.0,1.0,half_z_nm+,-0.0010029570914302788,0.10980946741020002
A,1,case_i_center,5.0,1.0,half_z_nm-,-0.0005906220985966992,0.0035773103742925867
A,1,case_i_center,5.0,1.0,period_nm+,0.0004351031332998611,-0.005145354578211592
A,1,case_i_center,5.0,1.0,period_nm-,0.0007563504776101349,0.007699175915650239
A,1,case_i_center,10.0,0.5,baseline,-0.00013548469879695602,-1.133079727454276e-05
A,1,case_i_center,10.0,0.5,depth_nm+,-0.00011619117947963414,7.613483543513606e-05
A,1,case_i_center,10.0,0.5,depth_nm-,-8.143404478377914e-05,-1.325987982043881e-05
A,1,case_i_center,10.0,0.5,half_x_nm+,-5.46821371977136e-05,6.926130405114487e-05
A,1,case_i_center,10.0,0.5,half_x_nm-,-4.24536310920931e-05,-2.9208799956446566e-05
A,1,case_i_center,10.0,0.5,half_z_nm+,0.0001713168298038692,-8.38702540678605e-06
A,1,case_i_center,10.0,0.5,half_z_nm-,-6.396642581549261e-05,2.6530913083319652e-05
A,1,case_i_center,10.0,0.5,period_nm+,-4.7179501485583586e-05,7.8524466691306e-05
A,1,case_i_center,10.0,0.5,period_nm-,-5.2849781478236935e-05,-4.014703790812166e-05
A,1,case_i_center,10.0,1.0,baseline,5.065346074817345e-05,-0.00016867163918396824
A,1,case_i_center,10.0,1.0,depth_nm+,0.0004191400564929615,0.00012868697885683742
A,1,case_i_center,10.0,1.0,depth_nm-,1.908351888912918e-05,-0.00010513029479402558
A,1,case_i_center,10.0,1.0,half_x_nm+,0.00015845656177135292,0.0001890444354210429
A,1,case_i_center,10.0,1.0,half_x_nm-,-5.144689263114621e-05,-0.00013001488200705096
A,1,case_i_center,10.0,1.0,half_z_nm+,-0.00024513765750500127,0.00017043567101781643
A,1,case_i_center,10.0,1.0,half_z_nm-,0.00012759230581071979,8.558364152166779e-05
A,1,case_i_center,10.0,1.0,period_nm+,-0.00022151993993885233,0.00011475158891184227
A,1,case_i_center,10.0,1.0,period_nm-,0.0001015485196875221,-0.0003680607804099385
A,1,case_i_center,20.0,0.5,baseline,-2.393448068180315e-05,-7.590988635477507e-07
A,1,case_i_center,20.0,0.5,depth_nm+,4.4636779138025606e-05,-1.5249902187860581e-06
A,1,case_i_center,20.0,0.5,depth_nm-,2.6573084455687457e-05,3.810552019779462e-07
A,1,case_i_center,20.0,0.5,half_x_nm+,-3.792237775525689e-05,1.2752851326786413e-06
A,1,case_i_center,20.0,0.5,half_x_nm-,-2.6566745791947732e-05,-1.016106171349363e-06
A,1,case_i_center,20.0,0.5,half_z_nm+,-1.3199332515895223e-05,-4.600478073515444e-06
A,1,case_i_center,20.0,0.5,half_z_nm-,-2.4117612218932383e-05,8.173995933425822e-07
