quadrant,coupling_model,case,v_ms,lambda_uev,dP_v,dchi_phi
robust_PvNeg_chiNeg,A,case_i_center,10.0,0.25,-2.451386e-04,-1.021645e-03
robust_PvNeg_chiNeg,A,case_i_center,10.0,0.5,-6.586372e-03,-2.576249e-03
robust_PvNeg_chiNeg,A,case_i_center,10.0,1.0,-2.172559e-02,-5.888391e-03
robust_PvNeg_chiNeg,A,case_ii_edge,2.0,0.25,-1.143774e-02,-1.116236e+00
robust_PvNeg_chiNeg,A,case_ii_edge,2.0,1.0,-3.061431e-04,-3.289746e-01
robust_PvNeg_chiNeg,A,case_ii_edge,10.0,0.5,-3.973970e-03,-3.670705e-02
robust_PvNeg_chiNeg,A,case_ii_edge,10.0,1.0,-1.415058e-03,-1.357948e-02
robust_PvNeg_chiNeg,A,case_ii_edge,20.0,1.0,-2.018624e-03,-3.790438e-03
robust_PvNeg_chiNeg,A_pocket,case_ii_edge,2.0,0.5,-2.374015e-03,-1.090700e-02
robust_PvNeg_chiNeg,A_pocket,case_ii_edge,5.0,1.0,-3.846929e-04,-4.851778e-01
robust_PvNeg_chiNeg,A_pocket,case_ii_edge,10.0,0.25,-5.888759e-04,-3.770294e-02
robust_PvNeg_chiNeg,A_pocket,case_ii_edge,20.0,1.0,-1.051660e-02,-3.742027e-03
PvPos_chiNeg,A,case_ii_edge,5.0,0.25,1.750386e-02,-1.252871e-01
PvPos_chiNeg,A,case_ii_edge,5.0,0.5,8.922805e-03,-6.024871e-01
PvPos_chiNeg,A,case_ii_edge,5.0,1.0,9.382687e-04,-2.304336e-01
PvPos_chiNeg,A_pocket,case_i_center,10.0,0.25,2.504739e-03,-1.034566e-03
PvPos_chiNeg,A_pocket,case_i_center,10.0,0.5,7.479391e-04,-4.201795e-03
PvPos_chiNeg,A_pocket,case_i_center,10.0,1.0,4.525965e-03,-1.357722e-03
PvPos_chiNeg,A_pocket,case_ii_edge,2.0,0.25,3.348110e-03,-3.836806e-01
PvPos_chiNeg,A_pocket,case_ii_edge,5.0,0.25,2.510743e-02,-1.039289e-01
PvPos_chiNeg,A_pocket,case_ii_edge,5.0,0.5,1.817682e-02,-2.359085e-01
PvPos_chiNeg,A_pocket,case_ii_edge,10.0,1.0,3.985007e-03,-7.119689e-03
PvNeg_chiPos,A,case_i_center,2.0,0.25,-4.907182e-04,3.401027e-03
PvNeg_chiPos,A,case_i_center,5.0,0.5,-4.475914e-04,3.241890e-03
PvNeg_chiPos,A,case_i_center,5.0,1.0,-2.492188e-03,4.450665e-02
PvNeg_chiPos,A,case_ii_edge,2.0,0.5,-5.006288e-03,1.648505e-01
PvNeg_chiPos,A_pocket,case_i_center,5.0,1.0,-1.634715e-04,3.029938e-02
PvNeg_chiPos,A_pocket,case_ii_edge,2.0,1.0,-1.383973e-04,4.598806e-01
both_worsen,A,case_i_center,2.0,0.5,1.840436e-03,1.795680e-03
both_worsen,A,case_i_center,2.0,1.0,4.872819e-04,3.902075e-03
both_worsen,A,case_i_center,20.0,1.0,-2.082570e-04,-1.049604e-04
both_worsen,A,case_ii_edge,10.0,0.25,5.772591e-04,2.401460e-02
both_worsen,A,case_ii_edge,20.0,0.25,-7.533106e-04,4.982517e-04
both_worsen,A,case_ii_edge,20.0,0.5,4.033597e-03,1.534364e-04
both_worsen,A_pocket,case_i_center,2.0,0.25,1.655534e-04,1.334428e-03
both_worsen,A_pocket,case_i_center,2.0,0.5,-4.087278e-04,3.036936e-04
both_worsen,A_pocket,case_i_center,2.0,1.0,1.255827e-04,-3.895728e-04
both_worsen,A_pocket,case_i_center,5.0,0.5,5.782687e-05,1.827861e-03
both_worsen,A_pocket,case_i_center,20.0,1.0,-1.705254e-04,-2.747051e-04
both_worsen,A_pocket,case_ii_edge,10.0,0.5,5.546974e-04,4.713783e-04
both_worsen,A_pocket,case_ii_edge,20.0,0.25,-4.862681e-05,1.931387e-03
both_worsen,A_pocket,case_ii_edge,20.0,0.5,2.063003e-03,-3.186800e-04
below_threshold,A,case_i_center,5.0,0.25,-6.043241e-05,3.464483e-05
below_threshold,A,case_i_center,20.0,0.25,-3.645230e-05,1.207989e-05
below_threshold,A,case_i_center,20.0,0.5,-2.930420e-06,-1.337546e-06
below_threshold,A_pocket,case_i_center,5.0,0.25,-8.525025e-05,4.804582e-04
below_threshold,A_pocket,case_i_center,20.0,0.25,-2.980211e-05,2.026812e-05
below_threshold,A_pocket,case_i_center,20.0,0.5,-6.429390e-05,-3.933218e-05
