mode,coupling_model,case,v_ms,lambda_uev,delta_P_v,delta_chi_phi,S_M2,S_M1V,P_v_M2,P_v_M1V,chi_M2,chi_M1
full_lite,A,case_i_center,2.0,0.0,-7.006657e-18,-2.033096e-15,7.239744e-15,0.000000e+00,1.049770e-04,1.049770e-04,3.774369e-02,3.774369e-02
full_lite,A,case_i_center,2.0,0.25,-4.907182e-04,3.401027e-03,6.713102e-02,6.837528e-02,1.153814e-02,1.202886e-02,8.495774e-02,8.155671e-02
full_lite,A,case_i_center,2.0,0.5,1.840436e-03,1.795680e-03,1.738219e-01,1.616556e-01,3.529280e-02,3.345237e-02,5.725824e-02,5.546256e-02
full_lite,A,case_i_center,2.0,1.0,4.872819e-04,3.902075e-03,1.581151e-01,1.581471e-01,2.891191e-02,2.842462e-02,3.471384e-02,3.081176e-02
full_lite,A,case_i_center,5.0,0.0,-1.287490e-18,-2.789435e-15,1.278167e-14,2.082227e-15,6.949683e-05,6.949683e-05,9.655997e-02,9.655997e-02
full_lite,A,case_i_center,5.0,0.25,-6.043241e-05,3.464483e-05,1.837312e-02,1.914546e-02,1.995805e-03,2.056238e-03,4.504147e-03,4.469502e-03
full_lite,A,case_i_center,5.0,0.5,-4.475914e-04,3.241890e-03,5.722352e-02,6.218918e-02,7.399726e-03,7.847318e-03,5.710377e-02,5.386188e-02
full_lite,A,case_i_center,5.0,1.0,-2.492188e-03,4.450665e-02,1.655374e-01,1.850247e-01,2.623039e-02,2.872258e-02,1.220707e-01,7.756407e-02
full_lite,A,case_i_center,10.0,0.0,0.000000e+00,-4.475587e-16,6.663127e-15,5.125482e-15,3.299178e-05,3.299178e-05,1.426704e-02,1.426704e-02
full_lite,A,case_i_center,10.0,0.25,-2.451386e-04,-1.021645e-03,3.568320e-02,3.670172e-02,8.764409e-03,9.009547e-03,1.878364e-02,1.980529e-02
full_lite,A,case_i_center,10.0,0.5,-6.586372e-03,-2.576249e-03,8.148867e-02,1.102161e-01,2.928469e-02,3.587107e-02,1.346364e-02,1.603989e-02
full_lite,A,case_i_center,10.0,1.0,-2.172559e-02,-5.888391e-03,1.968284e-01,2.564876e-01,1.094871e-01,1.312127e-01,8.636126e-03,1.452452e-02
full_lite,A,case_i_center,20.0,0.0,-4.336809e-18,2.222614e-16,2.851050e-15,0.000000e+00,4.542335e-04,4.542335e-04,1.751745e-03,1.751745e-03
full_lite,A,case_i_center,20.0,0.25,-3.645230e-05,1.207989e-05,6.969792e-02,6.942362e-02,1.069923e-02,1.073568e-02,1.898655e-03,1.886575e-03
full_lite,A,case_i_center,20.0,0.5,-2.930420e-06,-1.337546e-06,2.052225e-01,2.044593e-01,4.048832e-02,4.049125e-02,4.362925e-04,4.376300e-04
full_lite,A,case_i_center,20.0,1.0,-2.082570e-04,-1.049604e-04,4.999819e-01,4.992650e-01,1.485214e-01,1.487297e-01,1.690228e-03,1.795188e-03
full_lite,A,case_ii_edge,2.0,0.0,-4.065758e-19,-1.171285e-14,2.790184e-14,7.111607e-14,1.049770e-04,1.049770e-04,2.740019e-01,2.740019e-01
full_lite,A,case_ii_edge,2.0,0.25,-1.143774e-02,-1.116236e+00,1.631380e-01,1.000365e-01,8.220880e-01,8.335258e-01,7.915370e-02,1.195390e+00
full_lite,A,case_ii_edge,2.0,0.5,-5.006288e-03,1.648505e-01,4.248687e-01,4.347924e-01,1.085712e-01,1.135775e-01,1.665401e+00,1.500550e+00
full_lite,A,case_ii_edge,2.0,1.0,-3.061431e-04,-3.289746e-01,1.671654e-02,1.750037e-02,1.697631e-03,2.003774e-03,1.328069e+00,1.657043e+00
full_lite,A,case_ii_edge,5.0,0.0,1.341700e-18,-1.987299e-14,1.290981e-14,3.091307e-14,6.949683e-05,6.949683e-05,7.646196e-01,7.646196e-01
full_lite,A,case_ii_edge,5.0,0.25,1.750386e-02,-1.252871e-01,7.514351e-01,7.135762e-01,3.957818e-01,3.782780e-01,9.637681e-02,2.216639e-01
full_lite,A,case_ii_edge,5.0,0.5,8.922805e-03,-6.024871e-01,3.046025e-01,3.180946e-01,7.477040e-01,7.387812e-01,6.699857e-01,1.272473e+00
full_lite,A,case_ii_edge,5.0,1.0,9.382687e-04,-2.304336e-01,4.016407e-01,3.953311e-01,9.729798e-02,9.635971e-02,1.069527e-01,3.373863e-01
