mode,coupling_model,case,v_ms,lambda_uev,delta_P_v,delta_chi_phi,S_M2,S_M1V,P_v_M2,P_v_M1V,chi_M2,chi_M1
quick,A,case_i_center,1.0,0.0,6.613633e-18,0.000000e+00,0.000000e+00,0.000000e+00,7.577448e-05,7.577448e-05,-0.000000e+00,-0.000000e+00
quick,A,case_i_center,1.0,0.5,-4.337611e-03,0.000000e+00,5.243263e-01,5.358311e-01,5.870685e-01,5.914061e-01,-0.000000e+00,-0.000000e+00
quick,A,case_i_center,1.0,1.0,6.704210e-03,0.000000e+00,7.155467e-01,7.073928e-01,4.273836e-01,4.206794e-01,-0.000000e+00,-0.000000e+00
quick,A,case_i_center,5.0,0.0,-2.846031e-19,0.000000e+00,0.000000e+00,2.082227e-15,6.949683e-05,6.949683e-05,-0.000000e+00,-0.000000e+00
quick,A,case_i_center,5.0,0.5,1.262387e-04,0.000000e+00,6.571795e-02,6.218918e-02,7.973556e-03,7.847318e-03,-0.000000e+00,-0.000000e+00
quick,A,case_i_center,5.0,1.0,-1.411086e-03,0.000000e+00,1.734922e-01,1.850247e-01,2.731149e-02,2.872258e-02,-0.000000e+00,-0.000000e+00
quick,A,case_i_center,10.0,0.0,6.844026e-19,0.000000e+00,1.185268e-14,5.125482e-15,3.299178e-05,3.299178e-05,-0.000000e+00,-0.000000e+00
quick,A,case_i_center,10.0,0.5,-1.410975e-04,0.000000e+00,1.095375e-01,1.102161e-01,3.572997e-02,3.587107e-02,-0.000000e+00,-0.000000e+00
quick,A,case_i_center,10.0,1.0,-3.592326e-02,0.000000e+00,1.590674e-01,2.564876e-01,9.528939e-02,1.312127e-01,-0.000000e+00,-0.000000e+00
quick,A,case_ii_edge,1.0,0.0,6.600081e-18,0.000000e+00,1.672189e-13,7.463984e-14,7.577448e-05,7.577448e-05,-0.000000e+00,-0.000000e+00
quick,A,case_ii_edge,1.0,0.5,1.767824e-03,0.000000e+00,2.654028e-01,2.768896e-01,5.128111e-02,4.951328e-02,-0.000000e+00,-0.000000e+00
quick,A,case_ii_edge,1.0,1.0,1.154317e-03,0.000000e+00,3.538549e-02,1.662922e-02,4.122067e-03,2.967749e-03,-0.000000e+00,-0.000000e+00
quick,A,case_ii_edge,5.0,0.0,5.529431e-18,0.000000e+00,0.000000e+00,3.091307e-14,6.949683e-05,6.949683e-05,-0.000000e+00,-0.000000e+00
quick,A,case_ii_edge,5.0,0.5,-2.633258e-02,0.000000e+00,3.396137e-01,3.180946e-01,7.124486e-01,7.387812e-01,-0.000000e+00,-0.000000e+00
quick,A,case_ii_edge,5.0,1.0,-9.289630e-04,0.000000e+00,3.889824e-01,3.953311e-01,9.543075e-02,9.635971e-02,-0.000000e+00,-0.000000e+00
quick,A,case_ii_edge,10.0,0.0,-6.776264e-19,0.000000e+00,0.000000e+00,5.445825e-15,3.299178e-05,3.299178e-05,-0.000000e+00,-0.000000e+00
quick,A,case_ii_edge,10.0,0.5,-4.289922e-03,0.000000e+00,7.034024e-01,6.970837e-01,4.146476e-01,4.189376e-01,-0.000000e+00,-0.000000e+00
quick,A,case_ii_edge,10.0,1.0,-3.101136e-03,0.000000e+00,5.398773e-01,5.505728e-01,5.566881e-01,5.597893e-01,-0.000000e+00,-0.000000e+00
