mode,coupling_model,case,v_ms,lambda_uev,delta_P_v,delta_chi_phi,S_M2,S_M1V,P_v_M2,P_v_M1V,chi_M2,chi_M1
sensitivity,A,case_i_center,5.0,0.0,4.336809e-19,-1.018630e-14,0.000000e+00,2.082227e-15,6.949683e-05,6.949683e-05,1.289898e-01,1.289898e-01
sensitivity,A,case_i_center,5.0,1.0,-5.608558e-04,1.078324e-02,1.807747e-01,1.850247e-01,2.816172e-02,2.872258e-02,3.118899e-02,2.040574e-02
sensitivity,A,case_i_center,10.0,0.0,6.844026e-19,-1.112825e-15,7.688224e-15,5.125482e-15,3.299178e-05,3.299178e-05,4.485409e-03,4.485409e-03
sensitivity,A,case_i_center,10.0,1.0,-4.054097e-02,-5.781826e-04,1.478631e-01,2.564876e-01,9.067169e-02,1.312127e-01,7.242747e-04,1.302457e-03
sensitivity,A,case_ii_edge,5.0,0.0,1.761829e-18,-1.016964e-13,1.217302e-14,3.091307e-14,6.949683e-05,6.949683e-05,1.865802e+00,1.865802e+00
sensitivity,A,case_ii_edge,5.0,1.0,-2.550381e-03,-4.535835e-02,3.770981e-01,3.953311e-01,9.380933e-02,9.635971e-02,3.609435e-02,8.145270e-02
sensitivity,A,case_ii_edge,10.0,0.0,-1.341700e-18,1.332918e-15,0.000000e+00,5.445825e-15,3.299178e-05,3.299178e-05,9.941774e-04,9.941774e-04
sensitivity,A,case_ii_edge,10.0,1.0,-5.757684e-03,-5.452799e-03,5.276112e-01,5.505728e-01,5.540316e-01,5.597893e-01,8.513995e-03,1.396679e-02
sensitivity,A_pocket,case_i_center,5.0,0.0,-1.436568e-18,2.007075e-15,1.561670e-14,2.082227e-15,6.949683e-05,6.949683e-05,7.817676e-03,7.817676e-03
sensitivity,A_pocket,case_i_center,5.0,1.0,8.423932e-04,1.094619e-04,1.729334e-01,1.638811e-01,2.641763e-02,2.557523e-02,1.258324e-04,1.637051e-05
sensitivity,A_pocket,case_i_center,10.0,0.0,4.133521e-19,0.000000e+00,4.965311e-15,5.125482e-15,3.299178e-05,3.299178e-05,2.200653e-04,2.200653e-04
sensitivity,A_pocket,case_i_center,10.0,1.0,6.974144e-03,-2.207932e-03,2.579571e-01,2.378958e-01,1.350889e-01,1.281148e-01,9.170310e-04,3.124963e-03
sensitivity,A_pocket,case_ii_edge,5.0,0.0,2.710505e-19,-2.386980e-15,1.281371e-14,3.091307e-14,6.949683e-05,6.949683e-05,1.420549e-01,1.420549e-01
sensitivity,A_pocket,case_ii_edge,5.0,1.0,-6.247506e-04,-4.436750e-02,3.902856e-01,3.958270e-01,1.014321e-01,1.020569e-01,3.130876e-02,7.567626e-02
sensitivity,A_pocket,case_ii_edge,10.0,0.0,-1.924459e-18,-1.566455e-15,5.926339e-15,5.445825e-15,3.299178e-05,3.299178e-05,1.458735e-02,1.458735e-02
sensitivity,A_pocket,case_ii_edge,10.0,1.0,3.346515e-03,-1.149430e-02,6.163409e-01,5.940782e-01,5.726184e-01,5.692719e-01,1.649995e-02,2.799426e-02
