mode,coupling_model,case,v_ms,lambda_uev,delta_P_v,delta_chi_phi,S_M2,S_M1V,P_v_M2,P_v_M1V,chi_M2,chi_M1
validate_lite,A,case_i_center,5.0,0.0,-1.287490e-18,-2.789435e-15,1.278167e-14,2.082227e-15,6.949683e-05,6.949683e-05,9.655997e-02,9.655997e-02
validate_lite,A,case_i_center,5.0,0.25,-6.043241e-05,3.464483e-05,1.837312e-02,1.914546e-02,1.995805e-03,2.056238e-03,4.504147e-03,4.469502e-03
validate_lite,A,case_i_center,5.0,0.5,-4.475914e-04,3.241890e-03,5.722352e-02,6.218918e-02,7.399726e-03,7.847318e-03,5.710377e-02,5.386188e-02
validate_lite,A,case_i_center,5.0,1.0,-2.492188e-03,4.450665e-02,1.655374e-01,1.850247e-01,2.623039e-02,2.872258e-02,1.220707e-01,7.756407e-02
validate_lite,A,case_i_center,10.0,0.0,0.000000e+00,-4.475587e-16,6.663127e-15,5.125482e-15,3.299178e-05,3.299178e-05,1.426704e-02,1.426704e-02
validate_lite,A,case_i_center,10.0,0.25,-2.451386e-04,-1.021645e-03,3.568320e-02,3.670172e-02,8.764409e-03,9.009547e-03,1.878364e-02,1.980529e-02
validate_lite,A,case_i_center,10.0,0.5,-6.586372e-03,-2.576249e-03,8.148867e-02,1.102161e-01,2.928469e-02,3.587107e-02,1.346364e-02,1.603989e-02
validate_lite,A,case_i_center,10.0,1.0,-2.172559e-02,-5.888391e-03,1.968284e-01,2.564876e-01,1.094871e-01,1.312127e-01,8.636126e-03,1.452452e-02
validate_lite,A,case_ii_edge,5.0,0.0,1.341700e-18,-1.987299e-14,1.290981e-14,3.091307e-14,6.949683e-05,6.949683e-05,7.646196e-01,7.646196e-01
validate_lite,A,case_ii_edge,5.0,0.25,1.750386e-02,-1.252871e-01,7.514351e-01,7.135762e-01,3.957818e-01,3.782780e-01,9.637681e-02,2.216639e-01
validate_lite,A,case_ii_edge,5.0,0.5,8.922805e-03,-6.024871e-01,3.046025e-01,3.180946e-01,7.477040e-01,7.387812e-01,6.699857e-01,1.272473e+00
validate_lite,A,case_ii_edge,5.0,1.0,9.382687e-04,-2.304336e-01,4.016407e-01,3.953311e-01,9.729798e-02,9.635971e-02,1.069527e-01,3.373863e-01
validate_lite,A,case_ii_edge,10.0,0.0,-4.336809e-19,2.067790e-15,1.121199e-15,5.445825e-15,3.299178e-05,3.299178e-05,6.912574e-02,6.912574e-02
validate_lite,A,case_ii_edge,10.0,0.25,5.772591e-04,2.401460e-02,4.758224e-01,4.674603e-01,1.359103e-01,1.353330e-01,7.252110e-02,4.850649e-02
validate_lite,A,case_ii_edge,10.0,0.5,-3.973970e-03,-3.670705e-02,6.827374e-01,6.970837e-01,4.149636e-01,4.189376e-01,7.054932e-02,1.072564e-01
validate_lite,A,case_ii_edge,10.0,1.0,-1.415058e-03,-1.357948e-02,5.468317e-01,5.505728e-01,5.583742e-01,5.597893e-01,2.919213e-02,4.277161e-02
