metric,key,value
amplitude_dP_v,A,2.853440e-03
amplitude_dchi_phi,A,3.958075e-03
amplitude_dP_v,A_pocket,1.965220e-03
amplitude_dchi_phi,A_pocket,2.583402e-03
amplitude_dP_v,B_z,1.890823e-03
amplitude_dchi_phi,B_z,6.255535e-03
amplitude_dP_v,B_x,7.663392e-04
amplitude_dchi_phi,B_x,3.825510e-03
model_sensitivity,A_vs_A_pocket,5.844226e-03
model_sensitivity,A_vs_B_z,5.595834e-03
model_sensitivity,A_vs_B_x,6.881417e-03
model_sensitivity,A_pocket_vs_B_z,7.576536e-03
model_sensitivity,A_pocket_vs_B_x,3.156649e-03
model_sensitivity,B_z_vs_B_x,8.486425e-03
model_sensitivity_normalized,A_vs_A_pocket,5.844226
model_sensitivity_normalized,A_vs_B_z,5.595834
model_sensitivity_normalized,A_vs_B_x,6.881417
model_sensitivity_normalized,A_pocket_vs_B_z,7.576536
model_sensitivity_normalized,A_pocket_vs_B_x,3.156649
model_sensitivity_normalized,B_z_vs_B_x,8.486425
rank_correlation,A_vs_A_pocket,0.714286
rank_correlation,A_vs_B_z,0.714286
rank_correlation,A_vs_B_x,0.714286
rank_correlation,A_pocket_vs_B_z,0.880952
rank_correlation,A_pocket_vs_B_x,0.666667
rank_correlation,B_z_vs_B_x,0.452381
quadrant_agreement,A_vs_A_pocket,0.500000
quadrant_agreement,A_vs_B_z,0.500000
quadrant_agreement,A_vs_B_x,0.500000
quadrant_agreement,A_pocket_vs_B_z,0.625000
quadrant_agreement,A_pocket_vs_B_x,0.375000
quadrant_agreement,B_z_vs_B_x,0.500000
