metric,key,value
amplitude_dP_v,A,1.844738e-03
amplitude_dchi_phi,A,2.293684e-02
amplitude_dP_v,A_pocket,1.637010e-03
amplitude_dchi_phi,A_pocket,1.491161e-02
amplitude_dP_v,B_z,5.023712e-03
amplitude_dchi_phi,B_z,2.466493e-02
amplitude_dP_v,B_x,4.847772e-03
amplitude_dchi_phi,B_x,4.013169e-02
model_sensitivity,A_vs_A_pocket,2.280562e-02
model_sensitivity,A_vs_B_z,3.080449e-02
model_sensitivity,A_vs_B_x,4.604425e-02
model_sensitivity,A_pocket_vs_B_z,2.466227e-02
model_sensitivity,A_pocket_vs_B_x,4.555340e-02
model_sensitivity,B_z_vs_B_x,5.408889e-02
model_sensitivity_normalized,A_vs_A_pocket,22.805618
model_sensitivity_normalized,A_vs_B_z,30.804488
model_sensitivity_normalized,A_vs_B_x,46.044247
model_sensitivity_normalized,A_pocket_vs_B_z,24.662265
model_sensitivity_normalized,A_pocket_vs_B_x,45.553398
model_sensitivity_normalized,B_z_vs_B_x,54.088892
rank_correlation,A_vs_A_pocket,0.818743
rank_correlation,A_vs_B_z,0.829003
rank_correlation,A_vs_B_x,0.488725
rank_correlation,A_pocket_vs_B_z,0.853106
rank_correlation,A_pocket_vs_B_x,0.505168
rank_correlation,B_z_vs_B_x,0.566502
quadrant_agreement,A_vs_A_pocket,0.342593
quadrant_agreement,A_vs_B_z,0.425926
quadrant_agreement,A_vs_B_x,0.138889
quadrant_agreement,A_pocket_vs_B_z,0.398148
quadrant_agreement,A_pocket_vs_B_x,0.259259
quadrant_agreement,B_z_vs_B_x,0.166667
geometry_sensitivity_raw,A|period_nm,1.680765e-04
geometry_sensitivity_relative,A|period_nm,2.521147e-02
geometry_sensitivity_raw,A|depth_nm,1.169352e-03
geometry_sensitivity_relative,A|depth_nm,5.846760e-02
geometry_sensitivity_raw,A|half_x_nm,7.266770e-03
geometry_sensitivity_relative,A|half_x_nm,1.816692e-01
geometry_sensitivity_raw,A|half_z_nm,1.376386e-02
geometry_sensitivity_relative,A|half_z_nm,2.064578e-01
geometry_sensitivity_raw,A_pocket|period_nm,6.460762e-05
geometry_sensitivity_relative,A_pocket|period_nm,9.691142e-03
geometry_sensitivity_raw,A_pocket|depth_nm,5.658753e-04
geometry_sensitivity_relative,A_pocket|depth_nm,2.829377e-02
geometry_sensitivity_raw,A_pocket|half_x_nm,4.400740e-03
geometry_sensitivity_relative,A_pocket|half_x_nm,1.100185e-01
geometry_sensitivity_raw,A_pocket|half_z_nm,5.766247e-03
geometry_sensitivity_relative,A_pocket|half_z_nm,8.649370e-02
geometry_sensitivity_raw,B_z|period_nm,2.457468e-04
geometry_sensitivity_relative,B_z|period_nm,3.686202e-02
geometry_sensitivity_raw,B_z|depth_nm,1.888173e-03
geometry_sensitivity_relative,B_z|depth_nm,9.440867e-02
geometry_sensitivity_raw,B_z|half_x_nm,7.721850e-03
geometry_sensitivity_relative,B_z|half_x_nm,1.930462e-01
geometry_sensitivity_raw,B_z|half_z_nm,1.045910e-02
geometry_sensitivity_relative,B_z|half_z_nm,1.568866e-01
geometry_sensitivity_raw,B_x|period_nm,1.800825e-04
geometry_sensitivity_relative,B_x|period_nm,2.701238e-02
geometry_sensitivity_raw,B_x|depth_nm,5.405157e-04
geometry_sensitivity_relative,B_x|depth_nm,2.702579e-02
geometry_sensitivity_raw,B_x|half_x_nm,9.925335e-03
geometry_sensitivity_relative,B_x|half_x_nm,2.481334e-01
geometry_sensitivity_raw,B_x|half_z_nm,2.809299e-02
geometry_sensitivity_relative,B_x|half_z_nm,4.213948e-01
