metric,key,value
amplitude_dP_v,A,3.082435e-03
amplitude_dchi_phi,A,3.180406e-03
amplitude_dP_v,A_pocket,7.517683e-04
amplitude_dchi_phi,A_pocket,2.801211e-04
amplitude_dP_v,B_z,6.356013e-03
amplitude_dchi_phi,B_z,1.313884e-02
amplitude_dP_v,B_x,7.313700e-03
amplitude_dchi_phi,B_x,6.412733e-03
model_sensitivity,A_vs_A_pocket,5.284909e-03
model_sensitivity,A_vs_B_z,1.542106e-02
model_sensitivity,A_vs_B_x,1.271416e-02
model_sensitivity,A_pocket_vs_B_z,1.666598e-02
model_sensitivity,A_pocket_vs_B_x,1.009524e-02
model_sensitivity,B_z_vs_B_x,2.035183e-02
model_sensitivity_normalized,A_vs_A_pocket,37.161124
model_sensitivity_normalized,A_vs_B_z,54.911049
model_sensitivity_normalized,A_vs_B_x,100.652666
model_sensitivity_normalized,A_pocket_vs_B_z,74.365763
model_sensitivity_normalized,A_pocket_vs_B_x,68.266676
model_sensitivity_normalized,B_z_vs_B_x,127.023808
rank_correlation,A_vs_A_pocket,0.785380
rank_correlation,A_vs_B_z,0.913125
rank_correlation,A_vs_B_x,0.788762
rank_correlation,A_pocket_vs_B_z,0.881182
rank_correlation,A_pocket_vs_B_x,0.854897
rank_correlation,B_z_vs_B_x,0.800937
quadrant_agreement,A_vs_A_pocket,0.361111
quadrant_agreement,A_vs_B_z,0.453704
quadrant_agreement,A_vs_B_x,0.296296
quadrant_agreement,A_pocket_vs_B_z,0.314815
quadrant_agreement,A_pocket_vs_B_x,0.444444
quadrant_agreement,B_z_vs_B_x,0.287037
geometry_sensitivity_raw,A|period_nm,1.145314e-04
geometry_sensitivity_relative,A|period_nm,1.717971e-02
geometry_sensitivity_raw,A|depth_nm,5.631509e-04
geometry_sensitivity_relative,A|depth_nm,2.815754e-02
geometry_sensitivity_raw,A|half_x_nm,6.333168e-04
geometry_sensitivity_relative,A|half_x_nm,1.583292e-02
geometry_sensitivity_raw,A|half_z_nm,1.306630e-03
geometry_sensitivity_relative,A|half_z_nm,1.959945e-02
geometry_sensitivity_raw,A_pocket|period_nm,2.468782e-05
geometry_sensitivity_relative,A_pocket|period_nm,3.703173e-03
geometry_sensitivity_raw,A_pocket|depth_nm,9.032368e-05
geometry_sensitivity_relative,A_pocket|depth_nm,4.516184e-03
geometry_sensitivity_raw,A_pocket|half_x_nm,1.654726e-04
geometry_sensitivity_relative,A_pocket|half_x_nm,4.136816e-03
geometry_sensitivity_raw,A_pocket|half_z_nm,1.257153e-04
geometry_sensitivity_relative,A_pocket|half_z_nm,1.885729e-03
geometry_sensitivity_raw,B_z|period_nm,8.240575e-04
geometry_sensitivity_relative,B_z|period_nm,1.236086e-01
geometry_sensitivity_raw,B_z|depth_nm,8.834333e-04
geometry_sensitivity_relative,B_z|depth_nm,4.417167e-02
geometry_sensitivity_raw,B_z|half_x_nm,1.616351e-03
geometry_sensitivity_relative,B_z|half_x_nm,4.040876e-02
geometry_sensitivity_raw,B_z|half_z_nm,2.783737e-03
geometry_sensitivity_relative,B_z|half_z_nm,4.175605e-02
geometry_sensitivity_raw,B_x|period_nm,1.834777e-04
geometry_sensitivity_relative,B_x|period_nm,2.752166e-02
geometry_sensitivity_raw,B_x|depth_nm,9.641324e-04
geometry_sensitivity_relative,B_x|depth_nm,4.820662e-02
geometry_sensitivity_raw,B_x|half_x_nm,1.604776e-03
geometry_sensitivity_relative,B_x|half_x_nm,4.011940e-02
geometry_sensitivity_raw,B_x|half_z_nm,2.008091e-03
geometry_sensitivity_relative,B_x|half_z_nm,3.012136e-02
