metric,key,value
amplitude_dP_v,A,2.831732e-03
amplitude_dchi_phi,A,6.386379e-03
amplitude_dP_v,A_pocket,1.834344e-03
amplitude_dchi_phi,A_pocket,5.936291e-03
amplitude_dP_v,B_z,3.389053e-03
amplitude_dchi_phi,B_z,3.895173e-03
amplitude_dP_v,B_x,1.381799e-03
amplitude_dchi_phi,B_x,1.803476e-03
model_sensitivity,A_vs_A_pocket,1.058771e-02
model_sensitivity,A_vs_B_z,8.751638e-03
model_sensitivity,A_vs_B_x,7.703501e-03
model_sensitivity,A_pocket_vs_B_z,7.162688e-03
model_sensitivity,A_pocket_vs_B_x,6.509754e-03
model_sensitivity,B_z_vs_B_x,5.842652e-03
model_sensitivity_normalized,A_vs_A_pocket,10.587709
model_sensitivity_normalized,A_vs_B_z,8.751638
model_sensitivity_normalized,A_vs_B_x,7.703501
model_sensitivity_normalized,A_pocket_vs_B_z,7.162688
model_sensitivity_normalized,A_pocket_vs_B_x,6.509754
model_sensitivity_normalized,B_z_vs_B_x,5.842652
rank_correlation,A_vs_A_pocket,0.428571
rank_correlation,A_vs_B_z,0.548777
rank_correlation,A_vs_B_x,0.703475
rank_correlation,A_pocket_vs_B_z,0.616474
rank_correlation,A_pocket_vs_B_x,0.389447
rank_correlation,B_z_vs_B_x,0.630631
quadrant_agreement,A_vs_A_pocket,0.472222
quadrant_agreement,A_vs_B_z,0.333333
quadrant_agreement,A_vs_B_x,0.361111
quadrant_agreement,A_pocket_vs_B_z,0.222222
quadrant_agreement,A_pocket_vs_B_x,0.333333
quadrant_agreement,B_z_vs_B_x,0.333333
geometry_sensitivity_raw,A|period_nm,5.469115e-05
geometry_sensitivity_relative,A|period_nm,8.203672e-03
geometry_sensitivity_raw,A|depth_nm,1.071106e-03
geometry_sensitivity_relative,A|depth_nm,5.355528e-02
geometry_sensitivity_raw,A|half_x_nm,2.084188e-03
geometry_sensitivity_relative,A|half_x_nm,5.210469e-02
geometry_sensitivity_raw,A|half_z_nm,2.620592e-03
geometry_sensitivity_relative,A|half_z_nm,3.930888e-02
geometry_sensitivity_raw,A_pocket|period_nm,2.646818e-05
geometry_sensitivity_relative,A_pocket|period_nm,3.970228e-03
geometry_sensitivity_raw,A_pocket|depth_nm,2.585543e-04
geometry_sensitivity_relative,A_pocket|depth_nm,1.292772e-02
geometry_sensitivity_raw,A_pocket|half_x_nm,1.659102e-03
geometry_sensitivity_relative,A_pocket|half_x_nm,4.147754e-02
geometry_sensitivity_raw,A_pocket|half_z_nm,2.835925e-03
geometry_sensitivity_relative,A_pocket|half_z_nm,4.253887e-02
geometry_sensitivity_raw,B_z|period_nm,4.466372e-05
geometry_sensitivity_relative,B_z|period_nm,6.699559e-03
geometry_sensitivity_raw,B_z|depth_nm,3.266443e-04
geometry_sensitivity_relative,B_z|depth_nm,1.633222e-02
geometry_sensitivity_raw,B_z|half_x_nm,1.228902e-03
geometry_sensitivity_relative,B_z|half_x_nm,3.072255e-02
geometry_sensitivity_raw,B_z|half_z_nm,2.891070e-03
geometry_sensitivity_relative,B_z|half_z_nm,4.336606e-02
geometry_sensitivity_raw,B_x|period_nm,9.671517e-06
geometry_sensitivity_relative,B_x|period_nm,1.450727e-03
geometry_sensitivity_raw,B_x|depth_nm,8.601808e-05
geometry_sensitivity_relative,B_x|depth_nm,4.300904e-03
geometry_sensitivity_raw,B_x|half_x_nm,4.827928e-04
geometry_sensitivity_relative,B_x|half_x_nm,1.206982e-02
geometry_sensitivity_raw,B_x|half_z_nm,9.700527e-04
geometry_sensitivity_relative,B_x|half_z_nm,1.455079e-02
