metric,key,value
amplitude_dP_v,A,1.959412e-03
amplitude_dchi_phi,A,7.508604e-04
amplitude_dP_v,A_pocket,3.560732e-04
amplitude_dchi_phi,A_pocket,1.937820e-04
amplitude_dP_v,B_z,4.777598e-03
amplitude_dchi_phi,B_z,5.260469e-04
amplitude_dP_v,B_x,9.268456e-03
amplitude_dchi_phi,B_x,2.292914e-03
model_sensitivity,A_vs_A_pocket,2.070709e-03
model_sensitivity,A_vs_B_z,5.090853e-03
model_sensitivity,A_vs_B_x,8.169911e-03
model_sensitivity,A_pocket_vs_B_z,4.763240e-03
model_sensitivity,A_pocket_vs_B_x,9.692937e-03
model_sensitivity,B_z_vs_B_x,8.451757e-03
model_sensitivity_normalized,A_vs_A_pocket,2.070709
model_sensitivity_normalized,A_vs_B_z,5.090853
model_sensitivity_normalized,A_vs_B_x,8.169911
model_sensitivity_normalized,A_pocket_vs_B_z,4.763240
model_sensitivity_normalized,A_pocket_vs_B_x,9.692937
model_sensitivity_normalized,B_z_vs_B_x,8.451757
rank_correlation,A_vs_A_pocket,0.276448
rank_correlation,A_vs_B_z,0.647876
rank_correlation,A_vs_B_x,0.809524
rank_correlation,A_pocket_vs_B_z,0.455084
rank_correlation,A_pocket_vs_B_x,0.115830
rank_correlation,B_z_vs_B_x,0.773230
quadrant_agreement,A_vs_A_pocket,0.333333
quadrant_agreement,A_vs_B_z,0.388889
quadrant_agreement,A_vs_B_x,0.416667
quadrant_agreement,A_pocket_vs_B_z,0.277778
quadrant_agreement,A_pocket_vs_B_x,0.222222
quadrant_agreement,B_z_vs_B_x,0.250000
geometry_sensitivity_raw,A|period_nm,7.331288e-05
geometry_sensitivity_relative,A|period_nm,1.099693e-02
geometry_sensitivity_raw,A|depth_nm,1.774963e-04
geometry_sensitivity_relative,A|depth_nm,8.874813e-03
geometry_sensitivity_raw,A|half_x_nm,2.675632e-04
geometry_sensitivity_relative,A|half_x_nm,6.689080e-03
geometry_sensitivity_raw,A|half_z_nm,3.351904e-04
geometry_sensitivity_relative,A|half_z_nm,5.027856e-03
geometry_sensitivity_raw,A_pocket|period_nm,1.144557e-05
geometry_sensitivity_relative,A_pocket|period_nm,1.716835e-03
geometry_sensitivity_raw,A_pocket|depth_nm,4.978124e-05
geometry_sensitivity_relative,A_pocket|depth_nm,2.489062e-03
geometry_sensitivity_raw,A_pocket|half_x_nm,5.104735e-05
geometry_sensitivity_relative,A_pocket|half_x_nm,1.276184e-03
geometry_sensitivity_raw,A_pocket|half_z_nm,4.463868e-05
geometry_sensitivity_relative,A_pocket|half_z_nm,6.695801e-04
geometry_sensitivity_raw,B_z|period_nm,1.556193e-04
geometry_sensitivity_relative,B_z|period_nm,2.334290e-02
geometry_sensitivity_raw,B_z|depth_nm,3.022913e-04
geometry_sensitivity_relative,B_z|depth_nm,1.511457e-02
geometry_sensitivity_raw,B_z|half_x_nm,7.392591e-04
geometry_sensitivity_relative,B_z|half_x_nm,1.848148e-02
geometry_sensitivity_raw,B_z|half_z_nm,4.193780e-04
geometry_sensitivity_relative,B_z|half_z_nm,6.290670e-03
geometry_sensitivity_raw,B_x|period_nm,2.139783e-04
geometry_sensitivity_relative,B_x|period_nm,3.209675e-02
geometry_sensitivity_raw,B_x|depth_nm,8.181899e-04
geometry_sensitivity_relative,B_x|depth_nm,4.090950e-02
geometry_sensitivity_raw,B_x|half_x_nm,1.201130e-03
geometry_sensitivity_relative,B_x|half_x_nm,3.002824e-02
geometry_sensitivity_raw,B_x|half_z_nm,1.242604e-03
geometry_sensitivity_relative,B_x|half_z_nm,1.863906e-02
