metric,key,value
amplitude_dP_v,A,3.519938e-03
amplitude_dchi_phi,A,2.025555e-03
amplitude_dP_v,A_pocket,1.397502e-03
amplitude_dchi_phi,A_pocket,2.044698e-03
amplitude_dP_v,B_z,2.882466e-03
amplitude_dchi_phi,B_z,2.035136e-02
amplitude_dP_v,B_x,5.476077e-03
amplitude_dchi_phi,B_x,1.527123e-02
model_sensitivity,A_vs_A_pocket,5.434740e-03
model_sensitivity,A_vs_B_z,2.319925e-02
model_sensitivity,A_vs_B_x,1.981173e-02
model_sensitivity,A_pocket_vs_B_z,2.216235e-02
model_sensitivity,A_pocket_vs_B_x,1.822635e-02
model_sensitivity,B_z_vs_B_x,2.439486e-02
model_sensitivity_normalized,A_vs_A_pocket,5.434740
model_sensitivity_normalized,A_vs_B_z,23.199251
model_sensitivity_normalized,A_vs_B_x,19.811730
model_sensitivity_normalized,A_pocket_vs_B_z,22.162354
model_sensitivity_normalized,A_pocket_vs_B_x,18.226353
model_sensitivity_normalized,B_z_vs_B_x,24.394864
rank_correlation,A_vs_A_pocket,0.159588
rank_correlation,A_vs_B_z,0.257658
rank_correlation,A_vs_B_x,0.667696
rank_correlation,A_pocket_vs_B_z,-0.271042
rank_correlation,A_pocket_vs_B_x,0.246075
rank_correlation,B_z_vs_B_x,0.194337
quadrant_agreement,A_vs_A_pocket,0.361111
quadrant_agreement,A_vs_B_z,0.138889
quadrant_agreement,A_vs_B_x,0.000000
quadrant_agreement,A_pocket_vs_B_z,0.027778
quadrant_agreement,A_pocket_vs_B_x,0.194444
quadrant_agreement,B_z_vs_B_x,0.111111
geometry_sensitivity_raw,A|period_nm,1.223854e-04
geometry_sensitivity_relative,A|period_nm,1.835780e-02
geometry_sensitivity_raw,A|depth_nm,4.154589e-04
geometry_sensitivity_relative,A|depth_nm,2.077295e-02
geometry_sensitivity_raw,A|half_x_nm,4.063641e-04
geometry_sensitivity_relative,A|half_x_nm,1.015910e-02
geometry_sensitivity_raw,A|half_z_nm,7.053499e-04
geometry_sensitivity_relative,A|half_z_nm,1.058025e-02
geometry_sensitivity_raw,A_pocket|period_nm,4.844973e-05
geometry_sensitivity_relative,A_pocket|period_nm,7.267459e-03
geometry_sensitivity_raw,A_pocket|depth_nm,1.594544e-04
geometry_sensitivity_relative,A_pocket|depth_nm,7.972721e-03
geometry_sensitivity_raw,A_pocket|half_x_nm,5.101112e-04
geometry_sensitivity_relative,A_pocket|half_x_nm,1.275278e-02
geometry_sensitivity_raw,A_pocket|half_z_nm,4.476193e-04
geometry_sensitivity_relative,A_pocket|half_z_nm,6.714290e-03
geometry_sensitivity_raw,B_z|period_nm,1.367902e-04
geometry_sensitivity_relative,B_z|period_nm,2.051853e-02
geometry_sensitivity_raw,B_z|depth_nm,3.079503e-03
geometry_sensitivity_relative,B_z|depth_nm,1.539751e-01
geometry_sensitivity_raw,B_z|half_x_nm,1.279062e-03
geometry_sensitivity_relative,B_z|half_x_nm,3.197655e-02
geometry_sensitivity_raw,B_z|half_z_nm,2.803989e-03
geometry_sensitivity_relative,B_z|half_z_nm,4.205984e-02
geometry_sensitivity_raw,B_x|period_nm,2.019083e-04
geometry_sensitivity_relative,B_x|period_nm,3.028624e-02
geometry_sensitivity_raw,B_x|depth_nm,2.351817e-03
geometry_sensitivity_relative,B_x|depth_nm,1.175909e-01
geometry_sensitivity_raw,B_x|half_x_nm,1.102218e-03
geometry_sensitivity_relative,B_x|half_x_nm,2.755546e-02
geometry_sensitivity_raw,B_x|half_z_nm,2.505433e-03
geometry_sensitivity_relative,B_x|half_z_nm,3.758150e-02
