metric,key,value
amplitude_dP_v,A,1.959412e-03
amplitude_dchi_phi,A,7.508604e-04
amplitude_dP_v,A_pocket,3.484195e-04
amplitude_dchi_phi,A_pocket,1.916251e-04
amplitude_dP_v,B_z,3.423882e-03
amplitude_dchi_phi,B_z,3.475976e-04
amplitude_dP_v,B_x,5.523558e-03
amplitude_dchi_phi,B_x,7.995667e-04
model_sensitivity,A_vs_A_pocket,2.077354e-03
model_sensitivity,A_vs_B_z,3.803151e-03
model_sensitivity,A_vs_B_x,4.199669e-03
model_sensitivity,A_pocket_vs_B_z,3.335100e-03
model_sensitivity,A_pocket_vs_B_x,5.454113e-03
model_sensitivity,B_z_vs_B_x,4.285731e-03
model_sensitivity_normalized,A_vs_A_pocket,2.077354
model_sensitivity_normalized,A_vs_B_z,3.803151
model_sensitivity_normalized,A_vs_B_x,4.199669
model_sensitivity_normalized,A_pocket_vs_B_z,3.335100
model_sensitivity_normalized,A_pocket_vs_B_x,5.454113
model_sensitivity_normalized,B_z_vs_B_x,4.285731
rank_correlation,A_vs_A_pocket,0.295238
rank_correlation,A_vs_B_z,0.649421
rank_correlation,A_vs_B_x,0.766023
rank_correlation,A_pocket_vs_B_z,0.464607
rank_correlation,A_pocket_vs_B_x,0.135393
rank_correlation,B_z_vs_B_x,0.793565
quadrant_agreement,A_vs_A_pocket,0.333333
quadrant_agreement,A_vs_B_z,0.416667
quadrant_agreement,A_vs_B_x,0.500000
quadrant_agreement,A_pocket_vs_B_z,0.250000
quadrant_agreement,A_pocket_vs_B_x,0.305556
quadrant_agreement,B_z_vs_B_x,0.305556
geometry_sensitivity_raw,A|period_nm,7.331288e-05
geometry_sensitivity_relative,A|period_nm,1.099693e-02
geometry_sensitivity_raw,A|depth_nm,1.774963e-04
geometry_sensitivity_relative,A|depth_nm,8.874813e-03
geometry_sensitivity_raw,A|half_x_nm,2.675632e-04
geometry_sensitivity_relative,A|half_x_nm,6.689080e-03
geometry_sensitivity_raw,A|half_z_nm,3.351904e-04
geometry_sensitivity_relative,A|half_z_nm,5.027856e-03
geometry_sensitivity_raw,A_pocket|period_nm,1.125103e-05
geometry_sensitivity_relative,A_pocket|period_nm,1.687654e-03
geometry_sensitivity_raw,A_pocket|depth_nm,4.934173e-05
geometry_sensitivity_relative,A_pocket|depth_nm,2.467087e-03
geometry_sensitivity_raw,A_pocket|half_x_nm,4.896709e-05
geometry_sensitivity_relative,A_pocket|half_x_nm,1.224177e-03
geometry_sensitivity_raw,A_pocket|half_z_nm,4.420499e-05
geometry_sensitivity_relative,A_pocket|half_z_nm,6.630749e-04
geometry_sensitivity_raw,B_z|period_nm,1.157124e-04
geometry_sensitivity_relative,B_z|period_nm,1.735686e-02
geometry_sensitivity_raw,B_z|depth_nm,2.146575e-04
geometry_sensitivity_relative,B_z|depth_nm,1.073287e-02
geometry_sensitivity_raw,B_z|half_x_nm,4.921306e-04
geometry_sensitivity_relative,B_z|half_x_nm,1.230326e-02
geometry_sensitivity_raw,B_z|half_z_nm,3.737204e-04
geometry_sensitivity_relative,B_z|half_z_nm,5.605806e-03
geometry_sensitivity_raw,B_x|period_nm,1.443119e-04
geometry_sensitivity_relative,B_x|period_nm,2.164679e-02
geometry_sensitivity_raw,B_x|depth_nm,3.761457e-04
geometry_sensitivity_relative,B_x|depth_nm,1.880729e-02
geometry_sensitivity_raw,B_x|half_x_nm,8.915646e-04
geometry_sensitivity_relative,B_x|half_x_nm,2.228911e-02
geometry_sensitivity_raw,B_x|half_z_nm,5.085791e-04
geometry_sensitivity_relative,B_x|half_z_nm,7.628687e-03
