metric,key,value
amplitude_dP_v,A,2.459569e-03
amplitude_dchi_phi,A,1.472793e-02
amplitude_dP_v,A_pocket,2.269560e-03
amplitude_dchi_phi,A_pocket,1.811445e-02
amplitude_dP_v,B_z,6.304630e-03
amplitude_dchi_phi,B_z,2.759615e-02
amplitude_dP_v,B_x,5.767191e-03
amplitude_dchi_phi,B_x,3.440247e-02
model_sensitivity,A_vs_A_pocket,2.161271e-02
model_sensitivity,A_vs_B_z,2.987427e-02
model_sensitivity,A_vs_B_x,3.542359e-02
model_sensitivity,A_pocket_vs_B_z,2.655394e-02
model_sensitivity,A_pocket_vs_B_x,4.364361e-02
model_sensitivity,B_z_vs_B_x,5.486272e-02
model_sensitivity_normalized,A_vs_A_pocket,21.612706
model_sensitivity_normalized,A_vs_B_z,29.874269
model_sensitivity_normalized,A_vs_B_x,35.423588
model_sensitivity_normalized,A_pocket_vs_B_z,26.553944
model_sensitivity_normalized,A_pocket_vs_B_x,43.643609
model_sensitivity_normalized,B_z_vs_B_x,54.862717
rank_correlation,A_vs_A_pocket,0.805936
rank_correlation,A_vs_B_z,0.842016
rank_correlation,A_vs_B_x,0.452601
rank_correlation,A_pocket_vs_B_z,0.874976
rank_correlation,A_pocket_vs_B_x,0.515724
rank_correlation,B_z_vs_B_x,0.533732
quadrant_agreement,A_vs_A_pocket,0.291667
quadrant_agreement,A_vs_B_z,0.722222
quadrant_agreement,A_vs_B_x,0.166667
quadrant_agreement,A_pocket_vs_B_z,0.347222
quadrant_agreement,A_pocket_vs_B_x,0.250000
quadrant_agreement,B_z_vs_B_x,0.152778
geometry_sensitivity_raw,A|period_nm,1.543539e-04
geometry_sensitivity_relative,A|period_nm,2.315308e-02
geometry_sensitivity_raw,A|depth_nm,9.863337e-04
geometry_sensitivity_relative,A|depth_nm,4.931668e-02
geometry_sensitivity_raw,A|half_x_nm,2.803755e-03
geometry_sensitivity_relative,A|half_x_nm,7.009388e-02
geometry_sensitivity_raw,A|half_z_nm,1.249388e-02
geometry_sensitivity_relative,A|half_z_nm,1.874081e-01
geometry_sensitivity_raw,A_pocket|period_nm,1.068539e-04
geometry_sensitivity_relative,A_pocket|period_nm,1.602809e-02
geometry_sensitivity_raw,A_pocket|depth_nm,9.846614e-04
geometry_sensitivity_relative,A_pocket|depth_nm,4.923307e-02
geometry_sensitivity_raw,A_pocket|half_x_nm,1.939755e-03
geometry_sensitivity_relative,A_pocket|half_x_nm,4.849388e-02
geometry_sensitivity_raw,A_pocket|half_z_nm,8.989423e-03
geometry_sensitivity_relative,A_pocket|half_z_nm,1.348413e-01
geometry_sensitivity_raw,B_z|period_nm,3.470599e-04
geometry_sensitivity_relative,B_z|period_nm,5.205899e-02
geometry_sensitivity_raw,B_z|depth_nm,2.912325e-03
geometry_sensitivity_relative,B_z|depth_nm,1.456163e-01
geometry_sensitivity_raw,B_z|half_x_nm,9.766520e-03
geometry_sensitivity_relative,B_z|half_x_nm,2.441630e-01
geometry_sensitivity_raw,B_z|half_z_nm,8.712109e-03
geometry_sensitivity_relative,B_z|half_z_nm,1.306816e-01
geometry_sensitivity_raw,B_x|period_nm,2.154960e-04
geometry_sensitivity_relative,B_x|period_nm,3.232440e-02
geometry_sensitivity_raw,B_x|depth_nm,4.215732e-04
geometry_sensitivity_relative,B_x|depth_nm,2.107866e-02
geometry_sensitivity_raw,B_x|half_x_nm,7.461211e-03
geometry_sensitivity_relative,B_x|half_x_nm,1.865303e-01
geometry_sensitivity_raw,B_x|half_z_nm,2.591805e-02
geometry_sensitivity_relative,B_x|half_z_nm,3.887707e-01
