model,case,v_ms,lambda_uev,geom_label,dP_v,dchi_phi
A,case_ii_edge,10.0,0.5,baseline,-2.469915e-03,-1.077204e-02
A,case_ii_edge,10.0,0.5,period+,5.932152e-05,-2.271143e-04
A,case_ii_edge,10.0,1.0,baseline,-9.130382e-03,-1.044902e-02
A,case_ii_edge,10.0,1.0,period+,-9.801721e-05,-9.089967e-05
A,case_ii_edge,20.0,0.5,baseline,-1.696013e-03,-3.441766e-04
A,case_ii_edge,20.0,0.5,period+,1.927087e-05,2.696955e-06
A,case_ii_edge,20.0,1.0,baseline,9.326584e-03,-8.878584e-03
A,case_ii_edge,20.0,1.0,period+,2.801732e-05,-9.000608e-04
A_pocket,case_ii_edge,10.0,0.5,baseline,-6.985511e-05,9.432545e-03
A_pocket,case_ii_edge,10.0,0.5,period+,-9.951959e-06,-2.895678e-04
A_pocket,case_ii_edge,10.0,1.0,baseline,-3.582471e-03,-8.192159e-03
A_pocket,case_ii_edge,10.0,1.0,period+,1.961241e-06,-3.313800e-04
A_pocket,case_ii_edge,20.0,0.5,baseline,7.425602e-03,1.661235e-03
A_pocket,case_ii_edge,20.0,0.5,period+,-1.316101e-04,-1.817184e-04
A_pocket,case_ii_edge,20.0,1.0,baseline,4.486968e-03,-4.163503e-04
A_pocket,case_ii_edge,20.0,1.0,period+,1.334186e-05,-1.622628e-04
B_z,case_ii_edge,10.0,0.5,baseline,1.713162e-03,-2.380271e-02
B_z,case_ii_edge,10.0,0.5,period+,-1.198261e-04,-6.824540e-04
B_z,case_ii_edge,10.0,1.0,baseline,-1.064008e-02,-2.321989e-02
B_z,case_ii_edge,10.0,1.0,period+,6.541890e-05,-5.785229e-05
B_z,case_ii_edge,20.0,0.5,baseline,1.825229e-03,1.204263e-03
B_z,case_ii_edge,20.0,0.5,period+,-4.058010e-05,-7.180542e-04
B_z,case_ii_edge,20.0,1.0,baseline,7.165611e-04,-2.992910e-04
B_z,case_ii_edge,20.0,1.0,period+,5.727071e-06,-5.976188e-05
B_x,case_ii_edge,10.0,0.5,baseline,-1.842282e-03,1.872032e-02
B_x,case_ii_edge,10.0,0.5,period+,1.107067e-04,-4.148127e-05
B_x,case_ii_edge,10.0,1.0,baseline,-2.903470e-03,-7.973011e-03
B_x,case_ii_edge,10.0,1.0,period+,9.555707e-05,-3.179753e-04
B_x,case_ii_edge,20.0,0.5,baseline,-3.867651e-05,1.473756e-07
B_x,case_ii_edge,20.0,0.5,period+,5.001328e-06,-2.637689e-08
B_x,case_ii_edge,20.0,1.0,baseline,-1.132226e-03,3.271584e-03
B_x,case_ii_edge,20.0,1.0,period+,-2.793569e-06,-2.795363e-04
