model,case,v_ms,lambda_uev,geom_label,dP_v,dchi_phi
A,case_i_center,5.0,0.5,baseline,-4.109491e-05,8.478961e-04
A,case_i_center,5.0,0.5,depth_nm+,-6.459327e-03,-1.630925e-02
A,case_i_center,5.0,0.5,depth_nm-,2.253066e-06,8.744183e-05
A,case_i_center,5.0,0.5,half_x_nm+,5.008389e-03,-1.763051e-04
A,case_i_center,5.0,0.5,half_x_nm-,-3.345729e-03,1.563849e-03
A,case_i_center,5.0,0.5,half_z_nm+,2.334589e-05,-8.985489e-04
A,case_i_center,5.0,0.5,half_z_nm-,-9.576880e-04,-1.280553e-03
A,case_i_center,5.0,0.5,period_nm+,-5.228106e-06,-1.046073e-02
A,case_i_center,5.0,0.5,period_nm-,2.402571e-05,2.887152e-04
A,case_i_center,5.0,1.0,baseline,-5.902400e-05,8.513378e-03
A,case_i_center,5.0,1.0,depth_nm+,-1.247276e-02,-2.956144e-02
A,case_i_center,5.0,1.0,depth_nm-,7.213388e-06,-1.587773e-04
A,case_i_center,5.0,1.0,half_x_nm+,1.754989e-02,-3.106616e-03
A,case_i_center,5.0,1.0,half_x_nm-,-1.259925e-02,-3.057266e-02
A,case_i_center,5.0,1.0,half_z_nm+,3.265156e-04,-1.464385e-02
A,case_i_center,5.0,1.0,half_z_nm-,-3.758712e-03,-1.168569e-02
A,case_i_center,5.0,1.0,period_nm+,-6.278037e-06,-3.463026e-02
A,case_i_center,5.0,1.0,period_nm-,9.588686e-05,-3.866521e-04
A,case_i_center,10.0,0.5,baseline,-2.653042e-03,-1.258174e-03
A,case_i_center,10.0,0.5,depth_nm+,-1.038079e-04,8.944630e-05
A,case_i_center,10.0,0.5,depth_nm-,1.726232e-05,-8.459700e-06
A,case_i_center,10.0,0.5,half_x_nm+,1.529012e-04,2.223127e-03
A,case_i_center,10.0,0.5,half_x_nm-,1.327385e-03,6.682394e-02
A,case_i_center,10.0,0.5,half_z_nm+,7.263685e-04,5.386895e-03
A,case_i_center,10.0,0.5,half_z_nm-,5.015985e-04,-8.419556e-05
A,case_i_center,10.0,0.5,period_nm+,-1.961722e-05,-2.714822e-05
A,case_i_center,10.0,0.5,period_nm-,-4.324007e-04,-1.578656e-05
A,case_i_center,10.0,1.0,baseline,3.193663e-03,-8.834262e-03
A,case_i_center,10.0,1.0,depth_nm+,1.821018e-05,-1.930118e-04
A,case_i_center,10.0,1.0,depth_nm-,-2.463377e-05,8.235270e-06
A,case_i_center,10.0,1.0,half_x_nm+,-7.622541e-04,2.667465e-02
A,case_i_center,10.0,1.0,half_x_nm-,-3.748219e-04,-4.110587e-01
A,case_i_center,10.0,1.0,half_z_nm+,-3.300036e-03,1.087747e-01
A,case_i_center,10.0,1.0,half_z_nm-,-3.748269e-04,-3.492172e-04
A,case_i_center,10.0,1.0,period_nm+,-9.031494e-05,-2.416254e-04
A,case_i_center,10.0,1.0,period_nm-,2.006524e-04,2.738171e-04
A,case_i_center,20.0,0.5,baseline,-7.156868e-05,-1.056608e-05
A,case_i_center,20.0,0.5,depth_nm+,1.758104e-04,-2.482605e-05
A,case_i_center,20.0,0.5,depth_nm-,-6.475782e-07,1.524509e-05
A,case_i_center,20.0,0.5,half_x_nm+,7.621562e-05,5.902476e-03
A,case_i_center,20.0,0.5,half_x_nm-,-2.852552e-05,-2.788308e-04
A,case_i_center,20.0,0.5,half_z_nm+,9.875806e-05,-3.741101e-02
A,case_i_center,20.0,0.5,half_z_nm-,-2.196245e-05,-5.510265e-05
A,case_i_center,20.0,0.5,period_nm+,-4.327035e-05,-5.660400e-06
A,case_i_center,20.0,0.5,period_nm-,-7.484108e-05,-2.952335e-05
A,case_i_center,20.0,1.0,baseline,-7.942403e-04,-2.021469e-04
A,case_i_center,20.0,1.0,depth_nm+,7.391441e-04,-2.124109e-04
A,case_i_center,20.0,1.0,depth_nm-,5.379655e-07,1.776689e-04
