model,case,v_ms,lambda_uev,geom_label,dP_v,dchi_phi
A,case_i_center,5.0,0.5,baseline,1.480383e-04,-9.140192e-04
A,case_i_center,5.0,0.5,depth_nm+,6.426710e-04,1.982940e-03
A,case_i_center,5.0,0.5,depth_nm-,1.458378e-05,-4.555069e-04
A,case_i_center,5.0,0.5,half_x_nm+,-1.048144e-04,9.027563e-04
A,case_i_center,5.0,0.5,half_x_nm-,-3.905182e-04,-1.977921e-04
A,case_i_center,5.0,0.5,half_z_nm+,4.221306e-04,5.095718e-05
A,case_i_center,5.0,0.5,half_z_nm-,3.542471e-06,5.213315e-04
A,case_i_center,5.0,0.5,period_nm+,-1.089392e-04,-3.539795e-04
A,case_i_center,5.0,0.5,period_nm-,-3.590360e-04,-1.810407e-03
A,case_i_center,5.0,1.0,baseline,-9.637952e-04,3.136007e-03
A,case_i_center,5.0,1.0,depth_nm+,1.858287e-03,6.181632e-03
A,case_i_center,5.0,1.0,depth_nm-,-5.831932e-04,1.688551e-03
A,case_i_center,5.0,1.0,half_x_nm+,1.077644e-03,4.320100e-03
A,case_i_center,5.0,1.0,half_x_nm-,-6.778983e-04,1.981545e-03
A,case_i_center,5.0,1.0,half_z_nm+,-1.384533e-04,3.586067e-02
A,case_i_center,5.0,1.0,half_z_nm-,7.163567e-04,2.060561e-03
A,case_i_center,5.0,1.0,period_nm+,1.935334e-04,-2.710525e-03
A,case_i_center,5.0,1.0,period_nm-,-1.131479e-03,4.173596e-03
A,case_i_center,10.0,0.5,baseline,-1.340348e-04,-3.208709e-06
A,case_i_center,10.0,0.5,depth_nm+,-1.351822e-04,7.770293e-06
A,case_i_center,10.0,0.5,depth_nm-,-5.699524e-05,-1.130904e-06
A,case_i_center,10.0,0.5,half_x_nm+,-5.803040e-05,6.295554e-06
A,case_i_center,10.0,0.5,half_x_nm-,-9.284456e-05,-3.262181e-06
A,case_i_center,10.0,0.5,half_z_nm+,3.264772e-04,2.566387e-07
A,case_i_center,10.0,0.5,half_z_nm-,-1.015387e-04,2.706032e-06
A,case_i_center,10.0,0.5,period_nm+,7.111036e-05,9.209197e-06
A,case_i_center,10.0,0.5,period_nm-,-2.805861e-04,-4.771094e-06
A,case_i_center,10.0,1.0,baseline,-1.395615e-03,-1.281945e-04
A,case_i_center,10.0,1.0,depth_nm+,-5.052749e-03,1.740184e-04
A,case_i_center,10.0,1.0,depth_nm-,-7.168930e-04,-4.959584e-05
A,case_i_center,10.0,1.0,half_x_nm+,-2.781614e-03,1.188392e-04
A,case_i_center,10.0,1.0,half_x_nm-,8.337733e-04,-8.141971e-05
A,case_i_center,10.0,1.0,half_z_nm+,3.821357e-03,1.225923e-04
A,case_i_center,10.0,1.0,half_z_nm-,-2.508446e-03,5.603614e-05
A,case_i_center,10.0,1.0,period_nm+,2.044057e-03,1.114627e-04
A,case_i_center,10.0,1.0,period_nm-,-7.768541e-04,-1.989650e-04
A,case_i_center,20.0,0.5,baseline,-1.443019e-04,1.373277e-07
A,case_i_center,20.0,0.5,depth_nm+,1.532998e-04,-1.603176e-07
A,case_i_center,20.0,0.5,depth_nm-,7.274134e-05,2.481096e-07
A,case_i_center,20.0,0.5,half_x_nm+,-1.132445e-04,1.011291e-06
A,case_i_center,20.0,0.5,half_x_nm-,-5.795126e-05,-3.520889e-07
A,case_i_center,20.0,0.5,half_z_nm+,9.673227e-06,-2.350459e-06
A,case_i_center,20.0,0.5,half_z_nm-,-6.613926e-05,4.575340e-07
A,case_i_center,20.0,0.5,period_nm+,-6.538032e-05,1.320516e-06
A,case_i_center,20.0,0.5,period_nm-,-1.290374e-04,-4.230404e-07
A,case_i_center,20.0,1.0,baseline,1.749361e-04,-7.589120e-08
A,case_i_center,20.0,1.0,depth_nm+,-3.350822e-04,1.023659e-05
A,case_i_center,20.0,1.0,depth_nm-,-8.134797e-05,3.821789e-06
A,case_i_center,20.0,1.0,half_x_nm+,2.297845e-04,7.071472e-06
A,case_i_center,20.0,1.0,half_x_nm-,8.567810e-05,-4.185044e-06
A,case_i_center,20.0,1.0,half_z_nm+,-7.990276e-05,-2.289773e-05
A,case_i_center,20.0,1.0,half_z_nm-,1.244323e-04,3.792749e-06
A,case_i_center,20.0,1.0,period_nm+,3.318756e-05,1.720714e-05
A,case_i_center,20.0,1.0,period_nm-,1.330738e-04,-6.413515e-06
A,case_ii_edge,5.0,0.5,baseline,-1.019265e-03,4.464922e-03
A,case_ii_edge,5.0,0.5,depth_nm+,9.969735e-03,-1.624436e-03
A,case_ii_edge,5.0,0.5,depth_nm-,-4.418527e-03,-1.104414e-03
A,case_ii_edge,5.0,0.5,half_x_nm+,-6.037275e-03,3.371932e-03
A,case_ii_edge,5.0,0.5,half_x_nm-,6.311975e-03,1.117647e-03
A,case_ii_edge,5.0,0.5,half_z_nm+,-6.961493e-03,4.499747e-03
A,case_ii_edge,5.0,0.5,half_z_nm-,-5.384091e-03,8.124098e-05
A,case_ii_edge,5.0,0.5,period_nm+,-1.050748e-02,-3.661352e-04
A,case_ii_edge,5.0,0.5,period_nm-,4.113913e-03,8.153343e-06
A,case_ii_edge,5.0,1.0,baseline,-1.855772e-02,3.129431e-02
A,case_ii_edge,5.0,1.0,depth_nm+,3.284488e-02,4.208888e-02
A,case_ii_edge,5.0,1.0,depth_nm-,-7.765522e-03,-1.565093e-02
A,case_ii_edge,5.0,1.0,half_x_nm+,-2.837018e-02,1.613434e-02
A,case_ii_edge,5.0,1.0,half_x_nm-,1.512970e-02,2.193656e-02
A,case_ii_edge,5.0,1.0,half_z_nm+,-2.935607e-02,2.791351e-02
A,case_ii_edge,5.0,1.0,half_z_nm-,-1.554227e-02,-8.237407e-03
A,case_ii_edge,5.0,1.0,period_nm+,-2.646897e-02,-8.658958e-03
A,case_ii_edge,5.0,1.0,period_nm-,1.162693e-02,1.562821e-03
A,case_ii_edge,10.0,0.5,baseline,-2.004989e-03,-3.921208e-04
A,case_ii_edge,10.0,0.5,depth_nm+,-7.214311e-04,-2.118642e-03
A,case_ii_edge,10.0,0.5,depth_nm-,1.397319e-03,-1.281416e-04
A,case_ii_edge,10.0,0.5,half_x_nm+,2.732570e-03,1.987546e-04
A,case_ii_edge,10.0,0.5,half_x_nm-,4.865170e-04,5.916754e-04
A,case_ii_edge,10.0,0.5,half_z_nm+,-2.989046e-03,-1.878609e-04
A,case_ii_edge,10.0,0.5,half_z_nm-,-1.569880e-03,1.068508e-04
A,case_ii_edge,10.0,0.5,period_nm+,-3.103817e-03,9.403113e-05
A,case_ii_edge,10.0,0.5,period_nm-,4.747941e-04,8.172444e-06
A,case_ii_edge,10.0,1.0,baseline,4.365077e-03,-4.597397e-03
A,case_ii_edge,10.0,1.0,depth_nm+,-3.070310e-03,-3.324587e-02
A,case_ii_edge,10.0,1.0,depth_nm-,-3.678673e-03,-2.052663e-03
A,case_ii_edge,10.0,1.0,half_x_nm+,-6.857820e-03,4.781577e-03
A,case_ii_edge,10.0,1.0,half_x_nm-,-2.644646e-04,8.505315e-03
A,case_ii_edge,10.0,1.0,half_z_nm+,6.674413e-03,-1.908034e-03
A,case_ii_edge,10.0,1.0,half_z_nm-,4.315206e-03,2.977408e-03
A,case_ii_edge,10.0,1.0,period_nm+,8.328861e-03,3.721828e-03
A,case_ii_edge,10.0,1.0,period_nm-,-6.541445e-04,1.771241e-04
A,case_ii_edge,20.0,0.5,baseline,-1.061786e-04,-1.744880e-04
A,case_ii_edge,20.0,0.5,depth_nm+,-2.091698e-04,-2.043936e-04
A,case_ii_edge,20.0,0.5,depth_nm-,-1.511402e-04,-1.731826e-05
A,case_ii_edge,20.0,0.5,half_x_nm+,-2.406263e-04,2.344169e-05
A,case_ii_edge,20.0,0.5,half_x_nm-,1.372950e-04,-8.108798e-05
A,case_ii_edge,20.0,0.5,half_z_nm+,-5.849173e-05,-2.549414e-04
A,case_ii_edge,20.0,0.5,half_z_nm-,-5.310570e-06,-1.148832e-04
A,case_ii_edge,20.0,0.5,period_nm+,-7.958940e-05,-2.192904e-04
A,case_ii_edge,20.0,0.5,period_nm-,7.051715e-05,2.063575e-07
A,case_ii_edge,20.0,1.0,baseline,-3.777571e-04,-2.697411e-03
A,case_ii_edge,20.0,1.0,depth_nm+,-4.159851e-04,-3.764999e-03
A,case_ii_edge,20.0,1.0,depth_nm-,2.747971e-04,-3.551114e-04
A,case_ii_edge,20.0,1.0,half_x_nm+,4.990624e-04,-2.755338e-05
A,case_ii_edge,20.0,1.0,half_x_nm-,-6.517976e-04,-8.194492e-04
A,case_ii_edge,20.0,1.0,half_z_nm+,-9.069610e-04,-3.762227e-03
A,case_ii_edge,20.0,1.0,half_z_nm-,-4.813735e-04,-1.623887e-03
A,case_ii_edge,20.0,1.0,period_nm+,-1.015706e-03,-2.963442e-03
A,case_ii_edge,20.0,1.0,period_nm-,-3.335881e-04,5.132712e-06
A_pocket,case_i_center,5.0,0.5,baseline,1.428733e-04,-1.291637e-04
A_pocket,case_i_center,5.0,0.5,depth_nm+,1.027771e-04,3.403930e-04
A_pocket,case_i_center,5.0,0.5,depth_nm-,7.344090e-05,-7.327123e-05
A_pocket,case_i_center,5.0,0.5,half_x_nm+,-1.686221e-04,8.520732e-05
A_pocket,case_i_center,5.0,0.5,half_x_nm-,-1.549324e-04,-7.734198e-05
A_pocket,case_i_center,5.0,0.5,half_z_nm+,2.310892e-04,7.500364e-06
A_pocket,case_i_center,5.0,0.5,half_z_nm-,-8.424908e-05,7.049140e-05
A_pocket,case_i_center,5.0,0.5,period_nm+,-1.087809e-04,8.931497e-05
A_pocket,case_i_center,5.0,0.5,period_nm-,-6.246335e-05,-2.488803e-04
A_pocket,case_i_center,5.0,1.0,baseline,-1.327350e-04,-3.004256e-04
A_pocket,case_i_center,5.0,1.0,depth_nm+,3.159133e-04,6.391594e-04
A_pocket,case_i_center,5.0,1.0,depth_nm-,-1.477121e-05,-1.471798e-04
A_pocket,case_i_center,5.0,1.0,half_x_nm+,-1.613694e-05,3.467372e-04
A_pocket,case_i_center,5.0,1.0,half_x_nm-,-1.057514e-04,-1.115894e-05
A_pocket,case_i_center,5.0,1.0,half_z_nm+,2.348943e-04,-8.720773e-05
A_pocket,case_i_center,5.0,1.0,half_z_nm-,-4.459822e-05,1.887436e-04
A_pocket,case_i_center,5.0,1.0,period_nm+,-4.646442e-04,-1.756994e-04
A_pocket,case_i_center,5.0,1.0,period_nm-,6.615482e-05,-5.769601e-04
A_pocket,case_i_center,10.0,0.5,baseline,-1.280542e-04,-9.596889e-06
A_pocket,case_i_center,10.0,0.5,depth_nm+,-1.349063e-04,1.166456e-05
A_pocket,case_i_center,10.0,0.5,depth_nm-,-8.262374e-05,-2.770141e-06
A_pocket,case_i_center,10.0,0.5,half_x_nm+,-3.689417e-05,1.127531e-05
A_pocket,case_i_center,10.0,0.5,half_x_nm-,-3.353992e-05,-1.016433e-05
A_pocket,case_i_center,10.0,0.5,half_z_nm+,1.316662e-04,-4.315092e-06
A_pocket,case_i_center,10.0,0.5,half_z_nm-,-3.365822e-05,5.056264e-06
A_pocket,case_i_center,10.0,0.5,period_nm+,-3.749931e-05,1.407046e-05
A_pocket,case_i_center,10.0,0.5,period_nm-,-3.215267e-05,-1.055333e-05
A_pocket,case_i_center,10.0,1.0,baseline,-3.573300e-05,-1.927855e-05
A_pocket,case_i_center,10.0,1.0,depth_nm+,-3.432659e-05,4.782891e-05
A_pocket,case_i_center,10.0,1.0,depth_nm-,-2.084899e-05,-5.177269e-06
A_pocket,case_i_center,10.0,1.0,half_x_nm+,-1.594229e-05,3.493529e-05
A_pocket,case_i_center,10.0,1.0,half_x_nm-,-1.328778e-05,-1.887634e-05
A_pocket,case_i_center,10.0,1.0,half_z_nm+,5.140174e-05,1.757391e-05
A_pocket,case_i_center,10.0,1.0,half_z_nm-,-1.843890e-05,1.683242e-05
A_pocket,case_i_center,10.0,1.0,period_nm+,2.390593e-06,2.894855e-05
A_pocket,case_i_center,10.0,1.0,period_nm-,-3.771445e-05,-2.510214e-05
A_pocket,case_i_center,20.0,0.5,baseline,3.324413e-05,-1.123401e-07
A_pocket,case_i_center,20.0,0.5,depth_nm+,4.714166e-05,-3.594666e-07
A_pocket,case_i_center,20.0,0.5,depth_nm-,1.657989e-05,-1.054036e-08
A_pocket,case_i_center,20.0,0.5,half_x_nm+,-3.126146e-05,1.322630e-07
A_pocket,case_i_center,20.0,0.5,half_x_nm-,-3.793768e-05,-1.346782e-07
A_pocket,case_i_center,20.0,0.5,half_z_nm+,-5.115964e-05,-5.057097e-07
A_pocket,case_i_center,20.0,0.5,half_z_nm-,-2.083976e-05,3.418130e-08
A_pocket,case_i_center,20.0,0.5,period_nm+,-7.062725e-05,5.264173e-07
A_pocket,case_i_center,20.0,0.5,period_nm-,6.051277e-05,-5.118861e-07
A_pocket,case_i_center,20.0,1.0,baseline,8.108269e-05,-1.418767e-07
A_pocket,case_i_center,20.0,1.0,depth_nm+,-6.306265e-06,-4.265854e-07
A_pocket,case_i_center,20.0,1.0,depth_nm-,-8.556563e-06,2.377882e-07
A_pocket,case_i_center,20.0,1.0,half_x_nm+,-2.945723e-06,1.233854e-06
A_pocket,case_i_center,20.0,1.0,half_x_nm-,-2.461168e-05,-5.480308e-07
A_pocket,case_i_center,20.0,1.0,half_z_nm+,-7.063433e-05,-2.266868e-06
A_pocket,case_i_center,20.0,1.0,half_z_nm-,-2.175947e-06,4.221478e-07
A_pocket,case_i_center,20.0,1.0,period_nm+,-6.579600e-05,1.731134e-06
A_pocket,case_i_center,20.0,1.0,period_nm-,1.124519e-04,-9.229950e-07
A_pocket,case_ii_edge,5.0,0.5,baseline,4.227216e-04,2.630103e-03
A_pocket,case_ii_edge,5.0,0.5,depth_nm+,7.109765e-04,-2.706830e-03
A_pocket,case_ii_edge,5.0,0.5,depth_nm-,-6.616401e-04,-4.503805e-04
A_pocket,case_ii_edge,5.0,0.5,half_x_nm+,-2.634958e-04,2.144948e-03
A_pocket,case_ii_edge,5.0,0.5,half_x_nm-,8.353885e-04,1.112049e-04
A_pocket,case_ii_edge,5.0,0.5,half_z_nm+,-2.855513e-04,2.755036e-03
A_pocket,case_ii_edge,5.0,0.5,half_z_nm-,-6.513718e-04,2.835403e-04
A_pocket,case_ii_edge,5.0,0.5,period_nm+,-1.129119e-03,3.851886e-04
A_pocket,case_ii_edge,5.0,0.5,period_nm-,5.298073e-04,9.648809e-06
A_pocket,case_ii_edge,5.0,1.0,baseline,6.670222e-03,1.199769e-03
A_pocket,case_ii_edge,5.0,1.0,depth_nm+,-1.050480e-02,2.461547e-03
A_pocket,case_ii_edge,5.0,1.0,depth_nm-,3.274250e-03,-7.148585e-04
A_pocket,case_ii_edge,5.0,1.0,half_x_nm+,9.648106e-03,-1.760264e-04
A_pocket,case_ii_edge,5.0,1.0,half_x_nm-,-5.363884e-03,1.045252e-03
A_pocket,case_ii_edge,5.0,1.0,half_z_nm+,1.059311e-02,-1.530005e-05
A_pocket,case_ii_edge,5.0,1.0,half_z_nm-,5.829951e-03,-6.264548e-04
A_pocket,case_ii_edge,5.0,1.0,period_nm+,9.620778e-03,-1.285569e-03
A_pocket,case_ii_edge,5.0,1.0,period_nm-,-3.845808e-03,-3.289910e-05
A_pocket,case_ii_edge,10.0,0.5,baseline,2.154089e-04,-2.636669e-04
A_pocket,case_ii_edge,10.0,0.5,depth_nm+,-1.639632e-04,-8.060101e-04
A_pocket,case_ii_edge,10.0,0.5,depth_nm-,-2.330493e-04,-2.891218e-05
A_pocket,case_ii_edge,10.0,0.5,half_x_nm+,-3.889849e-04,1.502599e-04
A_pocket,case_ii_edge,10.0,0.5,half_x_nm-,4.199931e-06,2.269270e-04
A_pocket,case_ii_edge,10.0,0.5,half_z_nm+,3.542175e-04,-2.519024e-04
A_pocket,case_ii_edge,10.0,0.5,half_z_nm-,2.597307e-04,-2.010413e-05
A_pocket,case_ii_edge,10.0,0.5,period_nm+,5.466144e-04,-7.213672e-05
A_pocket,case_ii_edge,10.0,0.5,period_nm-,-2.084876e-05,6.157333e-06
A_pocket,case_ii_edge,10.0,1.0,baseline,-2.642542e-04,-4.236522e-04
A_pocket,case_ii_edge,10.0,1.0,depth_nm+,-4.941463e-04,-2.555776e-03
A_pocket,case_ii_edge,10.0,1.0,depth_nm-,6.150778e-05,-1.793803e-04
A_pocket,case_ii_edge,10.0,1.0,half_x_nm+,2.125555e-04,1.165594e-04
A_pocket,case_ii_edge,10.0,1.0,half_x_nm-,1.996504e-04,6.808555e-04
A_pocket,case_ii_edge,10.0,1.0,half_z_nm+,-2.645234e-04,-5.818201e-05
A_pocket,case_ii_edge,10.0,1.0,half_z_nm-,-9.682387e-05,1.782006e-04
A_pocket,case_ii_edge,10.0,1.0,period_nm+,-1.277771e-04,1.977611e-04
A_pocket,case_ii_edge,10.0,1.0,period_nm-,1.279462e-04,-9.317035e-07
A_pocket,case_ii_edge,20.0,0.5,baseline,6.579214e-05,-8.301514e-05
A_pocket,case_ii_edge,20.0,0.5,depth_nm+,2.312239e-05,-1.273887e-04
A_pocket,case_ii_edge,20.0,0.5,depth_nm-,9.373892e-05,-9.465227e-06
A_pocket,case_ii_edge,20.0,0.5,half_x_nm+,9.036190e-05,-9.025291e-06
A_pocket,case_ii_edge,20.0,0.5,half_x_nm-,-1.355603e-04,-4.399374e-05
A_pocket,case_ii_edge,20.0,0.5,half_z_nm+,-8.906970e-05,-1.304948e-04
A_pocket,case_ii_edge,20.0,0.5,half_z_nm-,-4.518117e-05,-5.723087e-05
A_pocket,case_ii_edge,20.0,0.5,period_nm+,2.399934e-06,-1.012995e-04
A_pocket,case_ii_edge,20.0,0.5,period_nm-,-3.981604e-05,-2.168120e-07
A_pocket,case_ii_edge,20.0,1.0,baseline,1.135295e-04,-8.249315e-05
A_pocket,case_ii_edge,20.0,1.0,depth_nm+,1.851828e-04,-1.172897e-04
A_pocket,case_ii_edge,20.0,1.0,depth_nm-,2.549091e-04,-9.449021e-06
A_pocket,case_ii_edge,20.0,1.0,half_x_nm+,3.434771e-04,-4.940718e-06
A_pocket,case_ii_edge,20.0,1.0,half_x_nm-,-3.094750e-04,-3.786817e-05
A_pocket,case_ii_edge,20.0,1.0,half_z_nm+,-1.111116e-04,-1.281519e-04
A_pocket,case_ii_edge,20.0,1.0,half_z_nm-,-8.310247e-05,-5.672669e-05
A_pocket,case_ii_edge,20.0,1.0,period_nm+,-4.556873e-05,-1.028953e-04
A_pocket,case_ii_edge,20.0,1.0,period_nm-,-1.326286e-04,-8.993614e-08
B_x,case_i_center,5.0,0.5,baseline,-2.174124e-04,-8.007665e-05
B_x,case_i_center,5.0,0.5,depth_nm+,1.790289e-04,6.195224e-04
B_x,case_i_center,5.0,0.5,depth_nm-,-6.361551e-05,-2.643306e-05
B_x,case_i_center,5.0,0.5,half_x_nm+,1.973164e-04,4.042386e-05
B_x,case_i_center,5.0,0.5,half_x_nm-,1.542134e-04,-8.560836e-05
B_x,case_i_center,5.0,0.5,half_z_nm+,-1.954966e-04,7.595143e-05
B_x,case_i_center,5.0,0.5,half_z_nm-,7.708378e-05,4.470559e-05
B_x,case_i_center,5.0,0.5,period_nm+,2.148705e-05,3.669757e-05
B_x,case_i_center,5.0,0.5,period_nm-,-5.166139e-04,-1.048255e-03
B_x,case_i_center,5.0,1.0,baseline,9.247911e-05,-2.692824e-05
B_x,case_i_center,5.0,1.0,depth_nm+,4.575999e-05,2.088654e-04
B_x,case_i_center,5.0,1.0,depth_nm-,8.643278e-05,-9.101941e-06
B_x,case_i_center,5.0,1.0,half_x_nm+,-1.779602e-04,1.685411e-05
B_x,case_i_center,5.0,1.0,half_x_nm-,-1.733930e-05,-2.983887e-05
B_x,case_i_center,5.0,1.0,half_z_nm+,5.767019e-04,2.218226e-05
B_x,case_i_center,5.0,1.0,half_z_nm-,-2.952510e-04,1.682247e-05
B_x,case_i_center,5.0,1.0,period_nm+,-2.889263e-04,8.448652e-06
B_x,case_i_center,5.0,1.0,period_nm-,1.160444e-03,-3.639126e-04
B_x,case_i_center,10.0,0.5,baseline,-1.471282e-05,-1.261308e-06
B_x,case_i_center,10.0,0.5,depth_nm+,-2.333218e-05,7.535268e-06
B_x,case_i_center,10.0,0.5,depth_nm-,8.021926e-06,-1.775044e-07
B_x,case_i_center,10.0,0.5,half_x_nm+,-4.383970e-06,2.337973e-06
B_x,case_i_center,10.0,0.5,half_x_nm-,-4.508915e-05,-1.725013e-06
B_x,case_i_center,10.0,0.5,half_z_nm+,1.071904e-04,2.870533e-07
B_x,case_i_center,10.0,0.5,half_z_nm-,-1.436333e-05,1.136754e-06
B_x,case_i_center,10.0,0.5,period_nm+,1.917545e-05,9.860850e-07
B_x,case_i_center,10.0,0.5,period_nm-,-3.722027e-04,-8.120753e-06
B_x,case_i_center,10.0,1.0,baseline,-3.051076e-05,-6.809570e-06
B_x,case_i_center,10.0,1.0,depth_nm+,-5.459099e-05,4.131819e-05
B_x,case_i_center,10.0,1.0,depth_nm-,-4.725109e-07,-9.518643e-07
B_x,case_i_center,10.0,1.0,half_x_nm+,-7.146519e-06,1.223399e-05
B_x,case_i_center,10.0,1.0,half_x_nm-,-4.599618e-05,-1.013316e-05
B_x,case_i_center,10.0,1.0,half_z_nm+,1.177193e-04,2.811174e-06
B_x,case_i_center,10.0,1.0,half_z_nm-,-1.586129e-05,6.058407e-06
B_x,case_i_center,10.0,1.0,period_nm+,2.047144e-05,4.263269e-06
B_x,case_i_center,10.0,1.0,period_nm-,-3.483149e-04,-4.123100e-05
B_x,case_i_center,20.0,0.5,baseline,1.047457e-05,-2.666403e-08
B_x,case_i_center,20.0,0.5,depth_nm+,6.562039e-06,-1.691442e-07
B_x,case_i_center,20.0,0.5,depth_nm-,1.515541e-06,5.180110e-09
B_x,case_i_center,20.0,0.5,half_x_nm+,-2.016891e-06,4.301478e-08
B_x,case_i_center,20.0,0.5,half_x_nm-,-6.827819e-06,-6.472172e-08
