model,case,v_ms,lambda_uev,geom_label,dP_v,dchi_phi
A,case_ii_edge,10.0,0.5,baseline,-2.786489e-03,-1.014601e-02
A,case_ii_edge,10.0,0.5,period_nm-,4.423775e-03,4.121005e-05
A,case_ii_edge,10.0,0.5,period_nm+,7.689395e-05,-2.221059e-04
A,case_ii_edge,10.0,0.5,depth_nm-,8.610368e-04,1.339691e-03
A,case_ii_edge,10.0,0.5,depth_nm+,1.305716e-03,4.149661e-04
A,case_ii_edge,10.0,0.5,half_x_nm-,2.987544e-03,6.351967e-04
A,case_ii_edge,10.0,0.5,half_x_nm+,-1.204922e-02,8.948936e-03
A,case_ii_edge,10.0,0.5,half_z_nm-,2.634585e-03,-1.767150e-03
A,case_ii_edge,10.0,0.5,half_z_nm+,-1.898173e-02,1.305558e-02
A,case_ii_edge,10.0,1.0,baseline,-6.339440e-03,-6.089866e-03
A,case_ii_edge,10.0,1.0,period_nm-,8.110512e-04,8.189245e-05
A,case_ii_edge,10.0,1.0,period_nm+,-5.681029e-05,-1.290709e-04
A,case_ii_edge,10.0,1.0,depth_nm-,2.420743e-04,1.595054e-03
A,case_ii_edge,10.0,1.0,depth_nm+,9.957534e-04,1.611218e-03
A,case_ii_edge,10.0,1.0,half_x_nm-,1.432588e-03,-4.249337e-03
A,case_ii_edge,10.0,1.0,half_x_nm+,-1.237327e-02,6.377322e-03
A,case_ii_edge,10.0,1.0,half_z_nm-,8.564023e-04,4.470038e-04
A,case_ii_edge,10.0,1.0,half_z_nm+,-1.249534e-02,3.848655e-03
A,case_ii_edge,20.0,0.5,baseline,-3.112402e-03,-1.353857e-05
A,case_ii_edge,20.0,0.5,period_nm-,-2.781337e-03,-5.818950e-05
A,case_ii_edge,20.0,0.5,period_nm+,3.891034e-05,-6.702488e-05
A,case_ii_edge,20.0,0.5,depth_nm-,-1.186719e-03,1.264634e-03
A,case_ii_edge,20.0,0.5,depth_nm+,-4.008497e-04,-7.506537e-04
A,case_ii_edge,20.0,0.5,half_x_nm-,-1.218889e-03,-2.433406e-04
A,case_ii_edge,20.0,0.5,half_x_nm+,-3.351448e-03,3.106315e-05
A,case_ii_edge,20.0,0.5,half_z_nm-,-1.417405e-03,3.178907e-04
A,case_ii_edge,20.0,0.5,half_z_nm+,-3.028684e-03,-5.402863e-04
A,case_ii_edge,20.0,1.0,baseline,3.320054e-04,-1.123873e-02
A,case_ii_edge,20.0,1.0,period_nm-,-8.769536e-04,3.921043e-03
A,case_ii_edge,20.0,1.0,period_nm+,2.457600e-06,-1.059545e-03
A,case_ii_edge,20.0,1.0,depth_nm-,1.587926e-04,5.996256e-02
A,case_ii_edge,20.0,1.0,depth_nm+,-4.352264e-04,-2.178070e-02
A,case_ii_edge,20.0,1.0,half_x_nm-,3.490472e-04,-7.736956e-03
A,case_ii_edge,20.0,1.0,half_x_nm+,-5.080071e-04,3.886845e-02
A,case_ii_edge,20.0,1.0,half_z_nm-,3.091704e-04,7.581078e-03
A,case_ii_edge,20.0,1.0,half_z_nm+,-7.243397e-04,-1.347369e-02
A_pocket,case_ii_edge,10.0,0.5,baseline,-5.367727e-04,7.377321e-03
A_pocket,case_ii_edge,10.0,0.5,period_nm-,2.038745e-04,-7.723673e-07
A_pocket,case_ii_edge,10.0,0.5,period_nm+,9.187539e-06,-2.018292e-04
A_pocket,case_ii_edge,10.0,0.5,depth_nm-,2.183528e-05,1.495568e-03
A_pocket,case_ii_edge,10.0,0.5,depth_nm+,6.918425e-05,7.554307e-04
A_pocket,case_ii_edge,10.0,0.5,half_x_nm-,1.091469e-04,-1.034906e-02
A_pocket,case_ii_edge,10.0,0.5,half_x_nm+,-7.784886e-04,1.961460e-03
A_pocket,case_ii_edge,10.0,0.5,half_z_nm-,8.620565e-05,6.296306e-04
A_pocket,case_ii_edge,10.0,0.5,half_z_nm+,-1.150694e-03,-1.496534e-03
A_pocket,case_ii_edge,10.0,1.0,baseline,-6.142940e-03,-2.369561e-02
A_pocket,case_ii_edge,10.0,1.0,period_nm-,1.506175e-03,6.351159e-04
A_pocket,case_ii_edge,10.0,1.0,period_nm+,2.171604e-05,5.241402e-05
A_pocket,case_ii_edge,10.0,1.0,depth_nm-,4.424925e-04,9.487871e-03
A_pocket,case_ii_edge,10.0,1.0,depth_nm+,1.430069e-03,8.252855e-03
A_pocket,case_ii_edge,10.0,1.0,half_x_nm-,1.935188e-03,-1.505756e-03
A_pocket,case_ii_edge,10.0,1.0,half_x_nm+,-1.257715e-02,3.804843e-02
A_pocket,case_ii_edge,10.0,1.0,half_z_nm-,1.471004e-03,5.826819e-03
A_pocket,case_ii_edge,10.0,1.0,half_z_nm+,-1.397145e-02,5.815877e-02
A_pocket,case_ii_edge,20.0,0.5,baseline,4.589586e-03,-1.601928e-04
A_pocket,case_ii_edge,20.0,0.5,period_nm-,3.265735e-03,7.780880e-05
A_pocket,case_ii_edge,20.0,0.5,period_nm+,-8.246365e-05,-4.300234e-04
A_pocket,case_ii_edge,20.0,0.5,depth_nm-,1.730827e-03,-2.576576e-04
A_pocket,case_ii_edge,20.0,0.5,depth_nm+,3.249395e-04,-3.938951e-03
A_pocket,case_ii_edge,20.0,0.5,half_x_nm-,1.905027e-03,-1.746334e-03
A_pocket,case_ii_edge,20.0,0.5,half_x_nm+,4.547683e-03,-5.590713e-05
A_pocket,case_ii_edge,20.0,0.5,half_z_nm-,2.209786e-03,1.960477e-03
A_pocket,case_ii_edge,20.0,0.5,half_z_nm+,3.364138e-03,-4.313617e-03
A_pocket,case_ii_edge,20.0,1.0,baseline,3.588235e-04,-1.940959e-03
A_pocket,case_ii_edge,20.0,1.0,period_nm-,2.211930e-04,8.728102e-04
A_pocket,case_ii_edge,20.0,1.0,period_nm+,8.729191e-06,-1.975813e-04
A_pocket,case_ii_edge,20.0,1.0,depth_nm-,1.534167e-04,1.044581e-02
A_pocket,case_ii_edge,20.0,1.0,depth_nm+,-2.690995e-04,-3.968762e-03
A_pocket,case_ii_edge,20.0,1.0,half_x_nm-,1.797694e-04,-1.450308e-03
A_pocket,case_ii_edge,20.0,1.0,half_x_nm+,1.700584e-04,7.301776e-03
A_pocket,case_ii_edge,20.0,1.0,half_z_nm-,1.746594e-04,1.429266e-03
A_pocket,case_ii_edge,20.0,1.0,half_z_nm+,-1.689533e-05,-3.226987e-03
B_z,case_ii_edge,10.0,0.5,baseline,8.288294e-04,-1.310779e-02
B_z,case_ii_edge,10.0,0.5,period_nm-,-2.512402e-03,4.817320e-05
B_z,case_ii_edge,10.0,0.5,period_nm+,-7.061102e-05,-6.250339e-04
B_z,case_ii_edge,10.0,0.5,depth_nm-,-5.680947e-04,1.840423e-03
B_z,case_ii_edge,10.0,0.5,depth_nm+,-5.906285e-04,2.652943e-04
B_z,case_ii_edge,10.0,0.5,half_x_nm-,-1.922853e-03,-1.419071e-03
B_z,case_ii_edge,10.0,0.5,half_x_nm+,6.453972e-03,6.803489e-03
B_z,case_ii_edge,10.0,0.5,half_z_nm-,-1.625490e-03,-3.491886e-03
B_z,case_ii_edge,10.0,0.5,half_z_nm+,9.819572e-03,1.161852e-02
B_z,case_ii_edge,10.0,1.0,baseline,-8.137578e-03,-1.866497e-02
B_z,case_ii_edge,10.0,1.0,period_nm-,3.456518e-03,-2.558765e-06
B_z,case_ii_edge,10.0,1.0,period_nm+,5.730070e-05,-1.128603e-04
B_z,case_ii_edge,10.0,1.0,depth_nm-,1.311215e-03,6.386258e-04
B_z,case_ii_edge,10.0,1.0,depth_nm+,3.325440e-03,-2.228568e-03
