model,case,v_ms,lambda_uev,geom_label,dP_v,dchi_phi
A,case_ii_edge,10.0,0.5,baseline,-3.774728e-03,-1.561572e-04
A,case_ii_edge,10.0,0.5,period_nm-,8.639688e-04,1.110744e-05
A,case_ii_edge,10.0,0.5,period_nm+,-5.977005e-03,6.291489e-05
A,case_ii_edge,10.0,0.5,depth_nm-,2.688413e-03,-6.377677e-05
A,case_ii_edge,10.0,0.5,depth_nm+,-1.109449e-03,-9.461273e-04
A,case_ii_edge,10.0,0.5,half_x_nm-,8.523762e-04,2.674501e-04
A,case_ii_edge,10.0,0.5,half_x_nm+,5.224373e-03,5.800235e-05
A,case_ii_edge,10.0,0.5,half_z_nm-,-3.019549e-03,5.989796e-05
A,case_ii_edge,10.0,0.5,half_z_nm+,-5.679887e-03,-4.000732e-05
A,case_ii_edge,10.0,1.0,baseline,-4.644580e-03,-1.409308e-04
A,case_ii_edge,10.0,1.0,period_nm-,1.372445e-03,2.158596e-05
A,case_ii_edge,10.0,1.0,period_nm+,-5.554476e-03,7.792150e-04
A,case_ii_edge,10.0,1.0,depth_nm-,2.677506e-03,-3.464293e-04
A,case_ii_edge,10.0,1.0,depth_nm+,-2.509305e-03,-4.049135e-03
A,case_ii_edge,10.0,1.0,half_x_nm-,1.644918e-03,9.979413e-04
A,case_ii_edge,10.0,1.0,half_x_nm+,5.127791e-03,1.493873e-04
A,case_ii_edge,10.0,1.0,half_z_nm-,-3.126347e-03,5.233852e-04
A,case_ii_edge,10.0,1.0,half_z_nm+,-6.068593e-03,5.075623e-04
A,case_ii_edge,20.0,0.5,baseline,-4.127500e-04,-5.592865e-05
A,case_ii_edge,20.0,0.5,period_nm-,3.731419e-04,-1.901255e-07
A,case_ii_edge,20.0,0.5,period_nm+,-1.465742e-04,-7.035392e-05
A,case_ii_edge,20.0,0.5,depth_nm-,-7.309898e-04,-4.770286e-06
A,case_ii_edge,20.0,0.5,depth_nm+,-6.918758e-04,-5.857643e-05
A,case_ii_edge,20.0,0.5,half_x_nm-,7.775457e-04,-2.837009e-05
A,case_ii_edge,20.0,0.5,half_x_nm+,-1.109600e-03,1.237772e-05
A,case_ii_edge,20.0,0.5,half_z_nm-,9.359458e-05,-3.781920e-05
A,case_ii_edge,20.0,0.5,half_z_nm+,7.452070e-05,-8.338159e-05
A,case_ii_edge,20.0,1.0,baseline,-5.118489e-04,-2.960264e-03
A,case_ii_edge,20.0,1.0,period_nm-,-1.379824e-04,3.226441e-08
A,case_ii_edge,20.0,1.0,period_nm+,-9.526494e-04,-3.157836e-03
A,case_ii_edge,20.0,1.0,depth_nm-,-4.564022e-05,-3.933664e-04
A,case_ii_edge,20.0,1.0,depth_nm+,-8.725667e-04,-4.165113e-03
A,case_ii_edge,20.0,1.0,half_x_nm-,-2.932755e-04,-8.818562e-04
A,case_ii_edge,20.0,1.0,half_x_nm+,-7.745779e-05,-5.642282e-05
A,case_ii_edge,20.0,1.0,half_z_nm-,-4.020756e-04,-1.774594e-03
A,case_ii_edge,20.0,1.0,half_z_nm+,-9.190168e-04,-4.108710e-03
A_pocket,case_ii_edge,10.0,0.5,baseline,-3.893992e-05,-7.165428e-05
A_pocket,case_ii_edge,10.0,0.5,period_nm-,1.395837e-05,-1.209228e-06
A_pocket,case_ii_edge,10.0,0.5,period_nm+,-4.418290e-05,-1.350485e-05
A_pocket,case_ii_edge,10.0,0.5,depth_nm-,1.839672e-05,-1.228815e-05
A_pocket,case_ii_edge,10.0,0.5,depth_nm+,-4.884155e-05,-2.676843e-04
A_pocket,case_ii_edge,10.0,0.5,half_x_nm-,2.073386e-05,6.897648e-05
A_pocket,case_ii_edge,10.0,0.5,half_x_nm+,4.550618e-05,3.292680e-05
A_pocket,case_ii_edge,10.0,0.5,half_z_nm-,-2.096941e-05,4.578553e-07
A_pocket,case_ii_edge,10.0,0.5,half_z_nm+,-5.110487e-05,-5.287088e-05
A_pocket,case_ii_edge,10.0,1.0,baseline,-1.440536e-03,-5.419619e-04
A_pocket,case_ii_edge,10.0,1.0,period_nm-,4.325199e-04,2.110006e-05
A_pocket,case_ii_edge,10.0,1.0,period_nm+,-1.994785e-03,2.111802e-04
A_pocket,case_ii_edge,10.0,1.0,depth_nm-,8.500458e-04,-2.315538e-04
A_pocket,case_ii_edge,10.0,1.0,depth_nm+,-9.332789e-04,-3.177356e-03
