model,case,v_ms,lambda_uev,geom_label,dP_v,dchi_phi
A,case_ii_edge,10.0,0.5,baseline,-8.392987e-03,-2.072497e-04
A,case_ii_edge,10.0,0.5,period_nm-,1.942290e-03,2.485364e-05
A,case_ii_edge,10.0,0.5,period_nm+,-1.289349e-02,3.810316e-04
A,case_ii_edge,10.0,0.5,depth_nm-,5.190150e-03,-1.670269e-04
A,case_ii_edge,10.0,0.5,depth_nm+,-3.687809e-03,-2.346521e-03
A,case_ii_edge,10.0,0.5,half_x_nm-,2.463112e-03,6.165501e-04
A,case_ii_edge,10.0,0.5,half_x_nm+,1.047847e-02,5.798562e-05
A,case_ii_edge,10.0,0.5,half_z_nm-,-6.225065e-03,2.266459e-04
A,case_ii_edge,10.0,0.5,half_z_nm+,-1.189837e-02,1.580297e-04
A,case_ii_edge,10.0,1.0,baseline,-7.701443e-03,2.232991e-03
A,case_ii_edge,10.0,1.0,period_nm-,2.865909e-03,8.173128e-05
A,case_ii_edge,10.0,1.0,period_nm+,-2.873312e-03,4.031261e-03
A,case_ii_edge,10.0,1.0,depth_nm-,2.266838e-03,-1.400224e-03
A,case_ii_edge,10.0,1.0,depth_nm+,-7.556937e-03,-5.609613e-03
A,case_ii_edge,10.0,1.0,half_x_nm-,4.377100e-03,1.985599e-03
A,case_ii_edge,10.0,1.0,half_x_nm+,6.314920e-03,-1.120199e-03
A,case_ii_edge,10.0,1.0,half_z_nm-,-3.802400e-03,2.016025e-03
A,case_ii_edge,10.0,1.0,half_z_nm+,-8.150540e-03,4.263810e-03
A,case_ii_edge,20.0,0.5,baseline,-6.896472e-04,-1.319926e-04
A,case_ii_edge,20.0,0.5,period_nm-,7.679378e-04,-2.543423e-07
A,case_ii_edge,20.0,0.5,period_nm+,1.583569e-04,-1.849419e-04
A,case_ii_edge,20.0,0.5,depth_nm-,-1.478581e-03,-1.169375e-05
A,case_ii_edge,20.0,0.5,depth_nm+,-1.747205e-03,-1.543880e-04
A,case_ii_edge,20.0,0.5,half_x_nm-,1.688954e-03,-6.162274e-05
A,case_ii_edge,20.0,0.5,half_x_nm+,-2.448769e-03,2.500771e-05
A,case_ii_edge,20.0,0.5,half_z_nm-,2.514574e-04,-8.615848e-05
A,case_ii_edge,20.0,0.5,half_z_nm+,1.221260e-04,-1.970338e-04
A,case_ii_edge,20.0,1.0,baseline,-1.069708e-03,-7.460584e-03
A,case_ii_edge,20.0,1.0,period_nm-,-2.166518e-04,6.693826e-06
A,case_ii_edge,20.0,1.0,period_nm+,-1.744975e-03,-6.751252e-03
A,case_ii_edge,20.0,1.0,depth_nm-,-1.833495e-04,-1.209670e-03
A,case_ii_edge,20.0,1.0,depth_nm+,-1.923709e-03,-1.419692e-02
A,case_ii_edge,20.0,1.0,half_x_nm-,-3.997916e-04,-5.987803e-04
A,case_ii_edge,20.0,1.0,half_x_nm+,-4.121464e-04,-1.018983e-03
A,case_ii_edge,20.0,1.0,half_z_nm-,-7.155295e-04,-3.886616e-03
A,case_ii_edge,20.0,1.0,half_z_nm+,-1.617722e-03,-1.001006e-02
A_pocket,case_ii_edge,10.0,0.5,baseline,-2.593108e-04,-1.957702e-04
A_pocket,case_ii_edge,10.0,0.5,period_nm-,1.348612e-04,-6.304345e-06
A_pocket,case_ii_edge,10.0,0.5,period_nm+,-1.687322e-04,3.252567e-04
A_pocket,case_ii_edge,10.0,0.5,depth_nm-,7.432861e-05,-1.917214e-04
A_pocket,case_ii_edge,10.0,0.5,depth_nm+,-4.444972e-04,-2.087082e-03
A_pocket,case_ii_edge,10.0,0.5,half_x_nm-,1.976117e-04,5.198594e-04
A_pocket,case_ii_edge,10.0,0.5,half_x_nm+,2.336269e-04,-2.631784e-05
A_pocket,case_ii_edge,10.0,0.5,half_z_nm-,-1.110382e-04,2.404080e-04
A_pocket,case_ii_edge,10.0,0.5,half_z_nm+,-2.655853e-04,1.527827e-04
A_pocket,case_ii_edge,10.0,1.0,baseline,-2.587149e-03,9.923379e-03
A_pocket,case_ii_edge,10.0,1.0,period_nm-,4.631253e-03,-9.510630e-06
A_pocket,case_ii_edge,10.0,1.0,period_nm+,5.087247e-03,9.994773e-03
A_pocket,case_ii_edge,10.0,1.0,depth_nm-,-3.190095e-03,-4.192884e-03
A_pocket,case_ii_edge,10.0,1.0,depth_nm+,-1.145885e-02,-7.108237e-04
A_pocket,case_ii_edge,10.0,1.0,half_x_nm-,6.423145e-03,-1.132222e-03
A_pocket,case_ii_edge,10.0,1.0,half_x_nm+,-9.171236e-04,-1.470583e-02
A_pocket,case_ii_edge,10.0,1.0,half_z_nm-,2.360420e-03,6.387084e-03
A_pocket,case_ii_edge,10.0,1.0,half_z_nm+,-3.531160e-05,1.577762e-02
A_pocket,case_ii_edge,20.0,0.5,baseline,2.787447e-04,-4.204503e-04
A_pocket,case_ii_edge,20.0,0.5,period_nm-,-8.184558e-04,-4.213067e-07
A_pocket,case_ii_edge,20.0,0.5,period_nm+,-6.707103e-04,-4.829831e-04
A_pocket,case_ii_edge,20.0,0.5,depth_nm-,1.248431e-03,-6.769991e-05
A_pocket,case_ii_edge,20.0,0.5,depth_nm+,8.985273e-04,-6.897631e-04
A_pocket,case_ii_edge,20.0,0.5,half_x_nm-,-1.644130e-03,-1.359203e-04
A_pocket,case_ii_edge,20.0,0.5,half_x_nm+,1.882034e-03,-1.031728e-04
A_pocket,case_ii_edge,20.0,0.5,half_z_nm-,-5.863734e-04,-2.722021e-04
A_pocket,case_ii_edge,20.0,0.5,half_z_nm+,-7.358746e-04,-6.240518e-04
A_pocket,case_ii_edge,20.0,1.0,baseline,-3.282389e-04,-5.670315e-04
A_pocket,case_ii_edge,20.0,1.0,period_nm-,-1.984732e-04,2.015684e-07
A_pocket,case_ii_edge,20.0,1.0,period_nm+,-6.310566e-04,-4.969897e-04
A_pocket,case_ii_edge,20.0,1.0,depth_nm-,1.195873e-04,-2.350065e-04
A_pocket,case_ii_edge,20.0,1.0,depth_nm+,-2.278608e-04,-1.284521e-03
A_pocket,case_ii_edge,20.0,1.0,half_x_nm-,-3.659679e-04,1.016625e-04
A_pocket,case_ii_edge,20.0,1.0,half_x_nm+,2.765251e-04,-5.279436e-04
A_pocket,case_ii_edge,20.0,1.0,half_z_nm-,-3.386364e-04,-2.743668e-04
A_pocket,case_ii_edge,20.0,1.0,half_z_nm+,-4.802573e-04,-7.451128e-04
B_z,case_ii_edge,10.0,0.5,baseline,9.030306e-03,3.188752e-02
B_z,case_ii_edge,10.0,0.5,period_nm-,-2.484419e-03,3.172415e-03
B_z,case_ii_edge,10.0,0.5,period_nm+,8.961362e-03,2.127761e-02
B_z,case_ii_edge,10.0,0.5,depth_nm-,-4.031462e-03,1.864346e-02
B_z,case_ii_edge,10.0,0.5,depth_nm+,4.860356e-03,1.502710e-01
B_z,case_ii_edge,10.0,0.5,half_x_nm-,-4.071069e-03,1.908600e-02
B_z,case_ii_edge,10.0,0.5,half_x_nm+,-1.126529e-02,4.574346e-02
B_z,case_ii_edge,10.0,0.5,half_z_nm-,6.040975e-03,1.651648e-02
B_z,case_ii_edge,10.0,0.5,half_z_nm+,1.035139e-02,4.397901e-02
B_z,case_ii_edge,10.0,1.0,baseline,-6.256885e-04,4.665216e-03
B_z,case_ii_edge,10.0,1.0,period_nm-,-3.180093e-04,1.057141e-03
B_z,case_ii_edge,10.0,1.0,period_nm+,-1.269414e-04,2.886048e-03
B_z,case_ii_edge,10.0,1.0,depth_nm-,1.495261e-04,1.705664e-03
B_z,case_ii_edge,10.0,1.0,depth_nm+,5.227608e-04,1.342419e-02
B_z,case_ii_edge,10.0,1.0,half_x_nm-,-5.313177e-04,3.390085e-03
B_z,case_ii_edge,10.0,1.0,half_x_nm+,1.034938e-03,5.546509e-03
B_z,case_ii_edge,10.0,1.0,half_z_nm-,-6.554135e-04,2.771591e-03
B_z,case_ii_edge,10.0,1.0,half_z_nm+,-1.205512e-03,7.302037e-03
B_z,case_ii_edge,20.0,0.5,baseline,-2.211161e-03,6.011729e-02
B_z,case_ii_edge,20.0,0.5,period_nm-,2.176307e-03,4.322464e-06
