model,case,v_ms,lambda_uev,geom_label,dP_v,dchi_phi
A,case_i_center,5.0,0.5,baseline,5.410926e-05,3.260237e-04
A,case_i_center,5.0,0.5,depth_nm+,-1.030884e-02,-4.550301e-03
A,case_i_center,5.0,0.5,depth_nm-,3.877164e-06,2.360663e-05
A,case_i_center,5.0,0.5,half_x_nm+,9.243794e-03,-4.524661e-04
A,case_i_center,5.0,0.5,half_x_nm-,-5.775694e-03,3.566049e-03
A,case_i_center,5.0,0.5,half_z_nm+,2.552062e-05,-8.021971e-04
A,case_i_center,5.0,0.5,half_z_nm-,-1.387204e-03,-5.042151e-04
A,case_i_center,5.0,0.5,period_nm+,-1.392171e-06,-8.550643e-03
A,case_i_center,5.0,0.5,period_nm-,4.615813e-05,6.329659e-05
A,case_i_center,5.0,1.0,baseline,-2.511311e-05,4.408104e-03
A,case_i_center,5.0,1.0,depth_nm+,-7.714565e-03,-1.993388e-02
A,case_i_center,5.0,1.0,depth_nm-,4.153745e-06,3.344163e-05
A,case_i_center,5.0,1.0,half_x_nm+,1.065688e-02,-2.263882e-03
A,case_i_center,5.0,1.0,half_x_nm-,-8.117745e-03,3.721682e-02
A,case_i_center,5.0,1.0,half_z_nm+,2.018321e-04,-5.655302e-03
A,case_i_center,5.0,1.0,half_z_nm-,-1.995809e-03,-5.037118e-03
A,case_i_center,5.0,1.0,period_nm+,-5.829613e-07,-2.785635e-02
A,case_i_center,5.0,1.0,period_nm-,7.146845e-05,6.501387e-05
A,case_i_center,20.0,0.5,baseline,-1.231808e-04,-9.772167e-06
A,case_i_center,20.0,0.5,depth_nm+,3.642886e-04,-1.935979e-05
A,case_i_center,20.0,0.5,depth_nm-,-4.339391e-06,1.478144e-05
A,case_i_center,20.0,0.5,half_x_nm+,4.332566e-04,3.583017e-03
A,case_i_center,20.0,0.5,half_x_nm-,-1.578858e-04,-2.352846e-04
A,case_i_center,20.0,0.5,half_z_nm+,4.370311e-04,-3.641306e-02
A,case_i_center,20.0,0.5,half_z_nm-,-8.911021e-05,-2.071726e-05
A,case_i_center,20.0,0.5,period_nm+,-1.204750e-04,-3.890679e-06
A,case_i_center,20.0,0.5,period_nm-,-2.243564e-04,-4.415748e-05
A,case_i_center,20.0,1.0,baseline,-1.535648e-03,-1.698653e-04
A,case_i_center,20.0,1.0,depth_nm+,1.955405e-03,-2.781513e-04
