geom_label,v_ms,A_dP_v,A_dchi_phi,A_robust,Ap_dP_v,Ap_dchi_phi,Ap_robust,cross_robust
baseline,15.0,2.050142e-02,4.501200e-02,False,1.368526e-02,4.016434e-02,False,False
baseline,17.5,3.692180e-03,1.414922e-03,False,1.911833e-02,-8.615018e-04,False,False
baseline,20.0,2.289294e-02,-7.251013e-03,False,-1.000415e-02,-2.602017e-03,True,False
baseline,22.5,5.439880e-03,-1.176462e-04,False,7.045908e-03,-4.696325e-05,False,False
baseline,25.0,2.298930e-02,2.260045e-02,False,8.616123e-03,9.836426e-04,False,False
period_nm=120,15.0,8.490639e-04,1.775354e-03,False,3.832682e-03,5.402475e-03,False,False
period_nm=120,17.5,-3.291288e-04,-3.093475e-05,False,1.169595e-03,-1.832531e-04,False,False
period_nm=120,20.0,1.154375e-02,2.369243e-03,False,3.440674e-03,3.173530e-03,False,False
period_nm=120,22.5,-1.247732e-02,-1.484606e-05,False,2.214266e-03,3.352493e-04,False,False
period_nm=120,25.0,-3.348718e-03,3.528490e-05,False,-1.916107e-02,2.109046e-04,False,False
period_nm=180,15.0,4.563609e-05,1.264958e-04,False,4.197717e-05,-1.527157e-04,False,False
period_nm=180,17.5,-1.154841e-04,-1.092647e-01,True,-2.433681e-04,2.969220e-04,False,False
period_nm=180,20.0,4.122249e-05,-8.340839e-04,False,1.153036e-05,-7.699316e-04,False,False
period_nm=180,22.5,8.648144e-06,-1.631274e-04,False,-8.211970e-06,-4.783694e-04,False,False
period_nm=180,25.0,-1.843550e-04,-5.099979e-07,False,-7.707741e-05,-1.818169e-05,False,False
depth_nm=-40,15.0,6.120844e-03,-7.469367e-04,False,2.964530e-04,-3.711944e-04,False,False
depth_nm=-40,17.5,-3.396998e-04,-6.274784e-04,False,1.366184e-03,-7.545944e-04,False,False
depth_nm=-40,20.0,-1.272889e-03,-6.113245e-03,True,-6.065493e-04,-9.845501e-03,True,True
depth_nm=-40,22.5,8.628040e-04,2.682139e-03,False,6.409723e-04,-4.065153e-03,False,False
depth_nm=-40,25.0,-3.964744e-03,-1.037267e-02,True,-2.451779e-03,3.946034e-01,False,False
depth_nm=-60,15.0,-7.653860e-04,-1.574422e-03,True,-1.395919e-03,-9.330373e-04,False,False
depth_nm=-60,17.5,4.237373e-04,-3.013495e-03,False,1.716865e-03,-1.712607e-03,False,False
depth_nm=-60,20.0,3.014398e-04,3.638320e-03,False,4.420330e-03,-8.561957e-04,False,False
depth_nm=-60,22.5,-8.462571e-04,-7.020071e-07,False,1.894631e-03,-4.208044e-05,False,False
depth_nm=-60,25.0,6.745222e-04,-1.016204e-04,False,3.666844e-03,-9.176709e-03,False,False
half_x_nm=20,15.0,-3.470513e-04,-2.672704e-02,True,-1.202251e-02,-5.836431e-04,False,False
half_x_nm=20,17.5,1.048530e-02,3.453257e-04,False,3.629644e-03,4.045001e-04,False,False
half_x_nm=20,20.0,-4.566160e-03,-2.099755e-06,False,4.241012e-03,-1.433198e-03,False,False
half_x_nm=20,22.5,-1.108989e-03,-6.089329e-04,False,-1.235394e-03,-6.894986e-04,False,False
half_x_nm=20,25.0,-3.274598e-03,3.757315e-04,False,-4.183580e-03,1.281299e-03,False,False
half_x_nm=30,15.0,-2.645758e-03,1.641321e-02,False,4.039129e-05,4.231521e-03,False,False
half_x_nm=30,17.5,-6.771251e-03,-9.935095e-03,True,7.961366e-03,-6.408918e-04,False,False
half_x_nm=30,20.0,9.944873e-03,8.206838e-04,False,1.155817e-03,4.476256e-02,False,False
half_x_nm=30,22.5,2.805276e-03,3.978741e-02,False,2.053336e-02,5.232697e-03,False,False
half_x_nm=30,25.0,-1.501411e-02,-2.507007e-03,True,-3.730944e-03,-3.390211e-03,True,True
half_z_nm=12,15.0,2.307384e-03,6.377123e-04,False,1.248674e-02,2.878701e-04,False,False
half_z_nm=12,17.5,1.862103e-03,-6.220966e-06,False,-4.369058e-03,-1.754749e-04,False,False
half_z_nm=12,20.0,4.959306e-04,7.037684e-03,False,4.601112e-03,-1.122664e-05,False,False
half_z_nm=12,22.5,4.779107e-03,-9.741067e-04,False,-8.284695e-04,-1.005977e-04,False,False
half_z_nm=12,25.0,2.398180e-03,9.143826e-05,False,-1.982465e-04,1.689134e-04,False,False
half_z_nm=18,15.0,1.859230e-04,-1.130094e-01,False,3.121965e-03,-1.458931e-03,False,False
half_z_nm=18,17.5,-1.482671e-03,3.840060e-03,False,-4.467419e-03,1.746182e-03,False,False
half_z_nm=18,20.0,-8.488918e-04,-1.435888e-03,True,5.732196e-04,-6.217820e-03,False,False
half_z_nm=18,22.5,-5.131297e-03,-3.121329e-02,True,8.245826e-03,-1.461365e-02,False,False
half_z_nm=18,25.0,5.727383e-05,-1.305688e-02,False,1.152696e-02,-1.528153e-03,False,False
